year,country_code,pop_ages,gender,number
1960,LAC,65+,male,2909271.0
1960,TLA,0-14,female,44845677.0
1960,TLA,0-14,male,45622425.0
1960,TLA,15-64,female,55887330.0
1960,TLA,15-64,male,55688627.0
1960,TLA,65+,female,3535102.0
1960,TLA,65+,male,3091945.0
1960,LDC,0-14,female,51624529.0
1960,LDC,0-14,male,52310917.0
1960,LDC,15-64,female,66719026.0
1960,LDC,15-64,male,67003211.0
1960,LDC,65+,female,3954443.0
1960,LDC,65+,male,3436480.0
1960,LMY,0-14,female,421965112.0
1960,LMY,0-14,male,439972568.0
1960,LMY,15-64,female,576441626.0
1960,LMY,15-64,male,592309214.0
1960,LMY,65+,female,41710272.0
1960,LMY,65+,male,34020275.0
1960,LIC,0-14,female,28934446.0
1960,LIC,0-14,male,29070058.0
1960,LIC,15-64,female,37873357.0
1960,LIC,15-64,male,36114227.0
1960,LIC,65+,female,2318144.0
1960,LIC,65+,male,1815504.0
1960,LMC,0-14,female,165907597.0
1960,LMC,0-14,male,173711613.0
1960,LMC,15-64,female,220459969.0
1960,LMC,15-64,male,231932667.0
1960,LMC,65+,female,13816547.0
1960,LMC,65+,male,13218768.0
1960,MEA,0-14,female,21680058.0
1960,MEA,0-14,male,22681462.0
1960,MEA,15-64,female,27386549.0
1960,MEA,15-64,male,27599486.0
1960,MEA,65+,female,2055422.0
1960,MEA,65+,male,1786067.0
1960,MNA,0-14,female,20507749.0
1960,MNA,0-14,male,21462936.0
1960,MNA,15-64,female,25740132.0
1960,MNA,15-64,male,25829378.0
1960,MNA,65+,female,1927119.0
1960,MNA,65+,male,1671390.0
1960,TMN,0-14,female,20507749.0
1960,TMN,0-14,male,21462936.0
1960,TMN,15-64,female,25740132.0
1960,TMN,15-64,male,25829378.0
1960,TMN,65+,female,1927119.0
1960,TMN,65+,male,1671390.0
1960,MIC,0-14,female,393030666.0
1960,MIC,0-14,male,410902510.0
1960,MIC,15-64,female,538568269.0
1960,MIC,15-64,male,556194987.0
1960,MIC,65+,female,39392128.0
1960,MIC,65+,male,32204771.0
1960,NAC,0-14,female,30947306.0
1960,NAC,0-14,male,31598913.0
1960,NAC,15-64,female,60386815.0
1960,NAC,15-64,male,58367309.0
1960,NAC,65+,female,9509891.0
1960,NAC,65+,male,7812331.0
1960,INX,0-14,female,
1960,INX,0-14,male,
1960,INX,15-64,female,
1960,INX,15-64,male,
1960,INX,65+,female,
1960,INX,65+,male,
1960,OED,0-14,female,120013286.0
1960,OED,0-14,male,124217799.0
1960,OED,15-64,female,255859095.0
1960,OED,15-64,male,242921178.0
1960,OED,65+,female,38650943.0
1960,OED,65+,male,27918368.0
1960,OSS,0-14,female,983865.0
1960,OSS,0-14,male,1009626.0
1960,OSS,15-64,female,1634019.0
1960,OSS,15-64,male,1515870.0
1960,OSS,65+,female,195570.0
1960,OSS,65+,male,119909.0
1960,PSS,0-14,female,206417.0
1960,PSS,0-14,male,216426.0
1960,PSS,15-64,female,220162.0
1960,PSS,15-64,male,238206.0
1960,PSS,65+,female,13546.0
1960,PSS,65+,male,17363.0
1960,PST,0-14,female,104986103.0
1960,PST,0-14,male,108663124.0
