year,country_code,hospital_beds,physicians,expenditure
1960,SWE,14.1999998092651,1.0,
1960,SWZ,1.94478523731232,0.104,
1960,SYC,7.09832143783569,0.312,
1960,SYR,1.07673752307892,0.216,
1960,TCD,0.697454333305359,0.014,
1960,TGO,1.26509189605713,0.021,
1960,THA,0.740034878253937,0.129,
1960,TLA,3.388390409930617,,
1960,TMN,1.85124342479042,,
1960,TON,2.5,0.375,
1960,TSA,0.5065916581349902,,
1960,TSS,1.4047115456163537,,
1960,TTO,5.58956098556519,0.418,
1960,TUN,2.4676616191864,0.1,
1960,TUR,1.70000004768372,0.3,
1960,TZA,1.49044585227966,0.055,
1960,UGA,1.4807984828949,0.074,
1960,URY,5.5118203163147,1.064,
1960,USA,9.19999980926514,1.1,
1960,VCT,4.82499980926514,0.1,
1960,VEN,,0.666,
1960,VUT,5.43076944351196,0.277,
1960,WSM,5.0,0.441,
1960,YEM,0.454545468091965,0.023,
1960,ZMB,2.80165553092957,0.107,
1960,ZWE,3.87664604187012,0.202,
1961,AUS,11.3000001907349,1.1,
1961,AUT,,1.4,
1961,BEL,,1.3,
1961,CAN,,1.1,
1961,CHE,,1.4,
1961,GBR,,0.9,
1961,GRC,,1.2,
1961,HUN,,1.6,
1961,ISL,,1.2,
1961,ITA,9.0,,
1961,JPN,,1.0,
1961,LUX,,1.0,
1961,NLD,,1.1,
1961,NZL,,1.1,
1961,POL,,1.0,
1961,PRT,,0.8,
1961,SWE,,1.0,
1961,TUR,,0.3,
1961,TZA,,0.04,
1962,AUS,11.3999996185303,,
1962,AUT,,1.4,
1962,BEL,,1.4,
1962,CAN,,1.2,
1962,CHE,,1.4,
1962,GBR,,0.9,
1962,GRC,,1.3,
1962,HUN,,1.7,
1962,ISL,,1.2,
1962,ITA,9.19999980926514,,
1962,JPN,,1.0,
1962,LUX,,1.0,
1962,NLD,,1.1,
1962,NOR,,1.2,
1962,POL,,1.1,
1962,PRT,,0.9,
1962,SWE,,1.0,
1962,TUR,,0.4,
1963,AUS,11.6999998092651,,
1963,AUT,,1.4,
1963,BEL,,1.4,
1963,CAN,,1.3,
1963,CHE,,1.4,
1963,GBR,,0.9,
1963,GRC,,1.3,
1963,HUN,,1.7,
1963,ISL,,1.2,
1963,ITA,9.30000019073486,,
1963,JPN,,1.0,
1963,LUX,,1.0,
1963,NLD,,1.1,
1963,NOR,,1.1,
1963,POL,,1.1,
1963,PRT,,0.8,
1963,SWE,,1.0,
1963,TUR,,0.4,
1964,AUS,11.8000001907349,,
1964,AUT,,1.4,
1964,BEL,,1.4,
1964,CAN,,1.3,
1964,CHE,,1.4,
1964,GBR,,0.9,
1964,GRC,,1.4,
1964,HUN,,1.8,
1964,ISL,,1.2,
1964,ITA,9.5,,
1964,JPN,,1.0,
1964,LUX,,1.0,
1964,NLD,,1.1,
1964,NOR,,1.2,
1964,POL,,1.2,
1964,PRT,,0.8,
1964,SWE,,1.1,
1964,TUR,,0.3,
1965,AFG,,0.063,
1965,AGO,,0.076,
1965,ALB,,0.481,
1965,ARG,,1.667,
1965,AUS,11.8999996185303,,
1965,AUT,,1.4,
1965,BDI,,0.017,
1965,BEL,,1.5,
1965,BEN,,0.03,
1965,BFA,,0.014,
1965,BGR,,1.667,
1965,BOL,,0.311,
1965,BRA,,0.4,
1965,BWA,,0.036,
1965,CAF,,0.03,
1965,CAN,,1.3,
1965,CHE,,1.4,
1965,CHL,,0.473,
1965,CIV,,0.048,
1965,CMR,,0.037,
1965,COD,,0.028,
1965,COG,,0.068,
1965,COL,,0.377,
1965,CRI,,0.517,
1965,CUB,,0.876,
1965,DOM,,0.588,
1965,DZA,,0.116,
1965,ECU,,0.335,
1965,EGY,,0.435,
1965,ETH,,0.014,
1965,GBR,,0.9,
1965,GHA,,0.073,
1965,GIN,,0.022,
1965,GRC,,1.4,
1965,GTM,,0.271,
1965,HKG,,0.396,
1965,HND,,0.19,
1965,HTI,,0.07,
1965,HUN,,1.9,
1965,IDN,,0.032,
1965,IMN,,0.26,
1965,IND,,0.205,
1965,IRN,,0.257,
1965,IRQ,,0.2,
1965,ISL,,1.2,
1965,ISR,,2.5,
1965,ITA,9.60000038146973,,
1965,JAM,,0.502,
1965,JOR,,0.37,
1965,JPN,,1.0,
1965,KEN,,0.075,
1965,KHM,,0.045,
1965,KWT,,1.263,
1965,LAO,,0.041,
1965,LBN,,0.938,
1965,LBR,,0.08,
1965,LBY,,0.259,
1965,LKA,,0.172,
1965,LSO,,0.048,
1965,LUX,,1.0,
1965,MAR,,0.082,
1965,MDG,,0.093,
1965,MLI,,0.019,
1965,MMR,,0.085,
1965,MNG,,1.378,
1965,MOZ,,0.056,
1965,MRT,,0.027,
1965,MUS,,0.255,
1965,MWI,,0.021,
1965,MYS,,0.161,
1965,NAC,8.80000019073486,,
1965,NER,,0.016,
1965,NGA,,0.043,
1965,NIC,,0.378,
1965,NLD,,1.2,
1965,NOR,,1.3,
1965,NPL,,0.021,
1965,OMN,,0.038,
1965,PAN,,0.478,
1965,PER,,0.605,
