year,country_code,gender,value
1960,COD,female,41.936
1960,COD,male,39.469
1960,COG,female,49.066
1960,COG,male,46.157
1960,CRI,female,64.787
1960,CRI,male,62.17
1960,CIV,female,39.42
1960,CIV,male,35.227
1960,HRV,female,68.204
1960,HRV,male,63.406
1960,CUB,female,65.53
1960,CUB,male,61.445
1960,CUW,female,67.354
1960,CUW,male,63.284
1960,CYP,female,67.299
1960,CYP,male,59.742
1960,CZE,female,73.34
1960,CZE,male,67.5
1960,DNK,female,74.0
1960,DNK,male,70.44
1960,DJI,female,45.382
1960,DJI,male,41.52
1960,DMA,female,61.3
1960,DMA,male,58.684
1960,DOM,female,53.305
1960,DOM,male,50.257
1960,ECU,female,55.336
1960,ECU,male,51.511
1960,EGY,female,47.355
1960,EGY,male,41.772
1960,SLV,female,50.351
1960,SLV,male,46.31
1960,GNQ,female,45.707
1960,GNQ,male,39.972
1960,ERI,female,39.548
1960,ERI,male,35.398
1960,EST,female,73.022
1960,EST,male,64.68
1960,SWZ,female,47.815
1960,SWZ,male,44.909
1960,ETH,female,43.303
1960,ETH,male,36.235
1960,FRO,female,74.757
1960,FRO,male,69.585
1960,FJI,female,60.589
1960,FJI,male,57.197
1960,FIN,female,72.4
1960,FIN,male,65.41
1960,FRA,female,73.3
1960,FRA,male,66.6
1960,PYF,female,60.922
1960,PYF,male,58.276
1960,GAB,female,49.126
1960,GAB,male,43.857
1960,GMB,female,35.309
1960,GMB,male,33.835
1960,GEO,female,65.897
1960,GEO,male,56.773
1960,DEU,female,71.749
1960,DEU,male,66.507
1960,GHA,female,49.166
1960,GHA,male,45.024
1960,GIB,female,72.823
1960,GIB,male,67.359
1960,GRC,female,73.088
1960,GRC,male,67.907
1960,GRL,female,61.251
1960,GRL,male,55.982
1960,GRD,female,64.608
1960,GRD,male,61.285
1960,GUM,female,64.721
1960,GUM,male,61.721
1960,GTM,female,45.907
1960,GTM,male,45.582
1960,GIN,female,37.896
1960,GIN,male,35.406
1960,GNB,female,39.268
1960,GNB,male,35.954
1960,GUY,female,60.104
1960,GUY,male,55.122
1960,HTI,female,45.62
1960,HTI,male,41.26
1960,HND,female,48.69
1960,HND,male,45.672
1960,HKG,female,69.556
1960,HKG,male,62.022
1960,HUN,female,70.18
1960,HUN,male,65.93
1960,ISL,female,75.738
1960,ISL,male,72.423
1960,IND,female,44.882
1960,IND,male,46.295
1960,IDN,female,48.602
1960,IDN,male,45.144
1960,IRN,female,42.614
1960,IRN,male,43.938
1960,IRQ,female,54.761
1960,IRQ,male,48.331
1960,IRL,female,71.989
1960,IRL,male,68.485
1960,IMN,female,69.788
1960,IMN,male,59.431
1960,ISR,female,
1960,ISR,male,
1960,ITA,female,71.69
1960,ITA,male,66.68
1960,JAM,female,65.483
1960,JAM,male,61.999
1960,JPN,female,70.19
1960,JPN,male,65.32
1960,JOR,female,53.078
1960,JOR,male,52.362
1960,KAZ,female,62.926
