"country_name","urban_population","gross_domestic_product","net_migration","urbanization_rate","migration_trend"
"Trinidad and Tobago","730784","27372285697.94770","2126.000","53.43902","Net Influx"
"Cote d'Ivoire","16564233","78875489245.05380","6002.000","53.14900","Net Influx"
"Guatemala","9623926","104450210572.01200","-8940.000","53.09800","Net Outflux"
"Uzbekistan","18015824","101591769702.34300","-6004.000","50.53200","Net Outflux"
"Bosnia and Herzegovina","1601104","27514782476.04060","-485.000","50.26899","Net Outflux"
"Benin","7069628","19676049075.70110","-192.000","50.10000","Net Outflux"
"Senegal","8962680","30848333083.70550","-9999.000","49.57900","Net Outflux"
"Philippines","55477513","437146372729.94200","-164284.000","48.28700","Net Outflux"
"Congo, Dem. Rep.","50190880","66383287002.98670","-14992.000","47.44400","Net Outflux"
"Belize","191608","3066850000.00000","595.000","46.60793","Net Influx"
"Zambia","9602449","27577956471.24400","9521.000","46.33500","Net Influx"
"Mali","10978722","20661794596.08730","-39953.000","46.18900","Net Outflux"
"Guinea-Bissau","979037","2048348108.35852","-1400.000","45.46599","Net Outflux"
"Togo","4139500","9171261837.57103","-1997.000","44.49001","Net Outflux"
"Sierra Leone","3748007","6411869546.28929","-4000.000","44.30000","Net Outflux"
"Bhutan","341150","2898227743.13545","291.000","43.68599","Net Influx"
"Central African Republic","2247177","2555492085.24831","-14682.000","43.61400","Net Outflux"
"Moldova","1066014","16539436547.29500","-18570.000","43.37299","Net Outflux"
"Egypt, Arab Rep.","49364918","396002496996.96000","305006.000","43.10000","Net Influx"
"Maldives","220765","6590894301.95790","-2877.000","41.97101","Net Outflux"
"Mauritius","515350","14644524819.00540","-2824.000","40.86703","Net Outflux"
"Madagascar","12651822","15790113246.74780","-1487.000","40.55600","Net Outflux"
"Bangladesh","69397835","437415331040.99400","-549918.000","40.47300","Net Outflux"
"Viet Nam","39619045","429716969043.57200","-81789.000","39.48000","Net Outflux"
"Mozambique","13034634","20954220983.54730","-36276.000","38.75300","Net Outflux"
"Lao PDR","2931630","15843155731.25520","-10003.000","38.24700","Net Outflux"
"Guinea","5486322","22199409741.25780","-3997.000","38.08500","Net Outflux"
"Pakistan","94150710","337912301397.72700","-1619557.000","38.04000","Net Outflux"
"Kyrgyz Republic","2683776","13987627908.83810","5601.000","37.80099","Net Influx"
"Tanzania","24920980","79062403820.89200","-39388.000","37.40900","Net Outflux"
"Grenada","43389","1316733333.33333","-190.000","37.05896","Net Outflux"
"Yemen, Rep.","12489492","21606160783.98450","-26335.000","36.64200","Net Outflux"
"India","522939628","3567551674623.01000","-979179.000","36.36400","Net Outflux"
"Sudan","18186551","109265503110.90400","-1349998.000","36.34200","Net Outflux"
"Burkina Faso","7487982","20324617844.52650","-24957.000","32.52000","Net Outflux"
"Zimbabwe","5313545","35231367885.85540","-97380.000","32.51700","Net Outflux"
"Timor-Leste","449284","2079916900.00000","-5620.000","32.45601","Net Outflux"
"Myanmar","17383445","66757619000.00000","-34989.000","32.11200","Net Outflux"
"Lesotho","703034","2117962450.79469","-5168.000","30.41499","Net Outflux"
"Comoros","256239","1352380971.24055","-2002.000","30.13205","Net Outflux"
"Kenya","16336074","108038588970.59500","-10003.000","29.52000","Net Outflux"
"Tajikistan","2933456","12060602008.84780","-19999.000","28.23400","Net Outflux"
"Guyana","224454","17159509565.46760","-6161.000","27.16200","Net Outflux"
"Uganda","13025859","48768955863.31750","-126181.000","26.77100","Net Outflux"
"Solomon Islands","208297","1633319401.19414","1636.000","26.03696","Net Influx"
"Vanuatu","83229","1126313359.21923","0.000","25.97586","Stable Migration"
"Eswatini","305042","4442875788.08505","-8549.000","24.78996","Net Outflux"
"Chad","4707283","13149325362.33470","496830.000","24.36600","Net Influx"
"Micronesia, Fed. Sts.","26332","460000000.00000","-1134.000","23.37921","Net Outflux"
"Ethiopia","29801135","163697927593.98200","-11996.000","23.15700","Net Outflux"
"Tonga","24291","518180042.24151","-2218.000","23.12504","Net Outflux"
"Nepal","6504011","40908073366.84550","-409782.000","21.90300","Net Outflux"
"Sri Lanka","4233528","84356863743.63350","-28011.000","19.21100","Net Outflux"
"St. Lucia","34373","2430148148.14815","0.000","19.17227","Stable Migration"
"South Sudan","2093997","11997800760.22420","-159822.000","18.85200","Net Outflux"
"Malawi","3857899","12712150082.07920","-5811.000","18.28000","Net Outflux"
"Rwanda","2496734","14097768472.18830","-9001.000","17.89200","Net Outflux"
"Samoa","37933","938189443.83039","-2810.000","17.50783","Net Outflux"
"Niger","4461304","16819170420.56530","995.000","17.05400","Net Influx"
"Burundi","2023848","2642161668.85211","1995.000","14.78400","Net Influx"
"Papua New Guinea","1425770","30729242919.44110","-787.000","13.72300","Net Outflux"
