"country_name","avg_primary_enrollment_rate","avg_health_expenditure","avg_poverty_rate","education_health_index","poverty_category"
"Azerbaijan","98.7877960000","2.6242423060","0.0125754822","259.2431135797","Low Poverty"
"Cameroon","63.7047150000","4.0682379000","0.2854032395","259.1659359717","Low Poverty"
"Central African Republic","62.5408000000","4.0263576500","0.6188422248","251.8116285171","Low Poverty"
"Djibouti","92.8430350000","2.6931979650","0.2200259472","250.0446729264","Low Poverty"
"Lao PDR","83.8473466667","2.9679168867","0.1860248870","248.8519560742","Low Poverty"
"Congo, Dem. Rep.","72.3014600000","3.2215035000","0.6968845629","232.9194064451","Low Poverty"
"Benin","83.7562400000","2.7281341600","0.5070925714","228.4982594572","Low Poverty"
"Indonesia","88.5863300000","2.5449640958","0.2067361331","225.4490292316","Low Poverty"
"Bangladesh","94.5142100000","2.2880766400","0.1822385629","216.2557560491","Low Poverty"
"Pakistan","77.5146142857","2.3722728657","0.1240593713","183.8858161663","Low Poverty"
"Mauritania","50.9426000000","3.3949762200","0.1215805791","172.9489155850","Low Poverty"
"Tanzania","45.3789050000","3.7465462700","0.6449232653","170.0141672644","Low Poverty"
"Angola","40.8185000000","3.3229033900","0.1458968827","135.6359320247","Low Poverty"
"Congo, Rep.","76.4351900000","1.7523732200","0.3535745416","133.9429800216","Low Poverty"
