"country_name","gender","avg_life_expectancy","avg_health_expenditure","avg_crude_death_rate","health_expenditure_quartile","avg_life_expectancy_per_expenditure"
"Albania","female","80.03","6.25","1382026.57",2,"12.81"
"Albania","male","75.12","6.25","1382026.57",2,"12.03"
"Algeria","female","75.14","4.62","11814249.91",3,"16.26"
"Algeria","male","72.68","4.62","11814249.91",3,"15.73"
"Angola","female","59.17","2.97","9605934.22",4,"19.93"
"Angola","male","54.65","2.97","9605934.22",4,"18.40"
"Argentina","female","78.55","9.05","3772142.26",1,"8.68"
"Argentina","male","72.36","9.05","3772142.26",1,"8.00"
"Armenia","female","77.21","8.55","1115064.96",1,"9.03"
"Armenia","male","70.54","8.55","1115064.96",1,"8.25"
"Australia","female","83.99","8.94","3288165.04",1,"9.39"
"Australia","male","79.47","8.94","3288165.04",1,"8.88"
"Austria","female","83.19","10.18","3531836.38",1,"8.17"
"Austria","male","77.92","10.18","3531836.38",1,"7.65"
"Azerbaijan","female","73.00","3.28","4200123.04",4,"22.25"
"Azerbaijan","male","66.97","3.28","4200123.04",4,"20.41"
"Bangladesh","female","69.83","2.19","104643309.22",4,"31.92"
"Bangladesh","male","66.84","2.19","104643309.22",4,"30.55"
"Belarus","female","76.93","5.73","2372607.61",3,"13.43"
"Belarus","male","65.86","5.73","2372607.61",3,"11.50"
"Belgium","female","82.86","9.99","252980.04",1,"8.30"
"Belgium","male","77.57","9.99","252980.04",1,"7.77"
"Belize","female","73.82","4.30","177239.35",4,"17.17"
"Belize","male","68.43","4.30","177239.35",4,"15.92"
"Benin","female","59.66","2.91","5702791.00",4,"20.51"
"Benin","male","57.33","2.91","5702791.00",4,"19.71"
"Bhutan","female","70.34","3.62","452564.09",4,"19.42"
"Bhutan","male","67.14","3.62","452564.09",4,"18.53"
"Bolivia","female","67.78","5.80","3425325.65",3,"11.68"
"Bolivia","male","63.02","5.80","3425325.65",3,"10.86"
"Bosnia and Herzegovina","female","79.83","8.97","2031880.57",1,"8.90"
"Bosnia and Herzegovina","male","72.84","8.97","2031880.57",1,"8.12"
"Botswana","female","61.79","6.07","751683.65",2,"10.19"
"Botswana","male","57.71","6.07","751683.65",2,"9.51"
"Brazil","female","76.74","8.59","29821219.39",1,"8.93"
"Brazil","male","70.03","8.59","29821219.39",1,"8.15"
"Bulgaria","female","77.06","7.15","2027246.39",2,"10.78"
"Bulgaria","male","69.94","7.15","2027246.39",2,"9.78"
"Burkina Faso","female","57.90","4.87","12531651.35",3,"11.90"
"Burkina Faso","male","54.73","4.87","12531651.35",3,"11.25"
"Burundi","female","58.66","7.85","8566139.70",2,"7.47"
"Burundi","male","55.16","7.85","8566139.70",2,"7.02"
"Cabo Verde","female","76.17","4.88","191566.30",3,"15.60"
"Cabo Verde","male","68.73","4.88","191566.30",3,"14.07"
"Cameroon","female","59.36","3.92","9719927.00",4,"15.14"
"Cameroon","male","56.11","3.92","9719927.00",4,"14.31"
"Canada","female","83.31","10.29","6629725.21",1,"8.10"
"Canada","male","78.82","10.29","6629725.21",1,"7.66"
"Central African Republic","female","47.34","5.54","2736166.09",3,"8.55"
"Central African Republic","male","42.35","5.54","2736166.09",3,"7.65"
"Chad","female","51.79","3.62","10079653.91",4,"14.29"
"Chad","male","49.31","3.62","10079653.91",4,"13.60"
"Chile","female","81.64","7.85","2247570.67",2,"10.40"
"Chile","male","76.60","7.85","2247570.67",2,"9.76"
"China","female","78.44","4.63","666695598.09",3,"16.96"
"China","male","73.13","4.63","666695598.09",3,"15.81"
"Colombia","female","77.94","6.99","9750732.46",2,"11.14"
"Colombia","male","71.23","6.99","9750732.46",2,"10.18"
"Comoros","female","64.73","5.76","483002.52",3,"11.23"
"Comoros","male","61.23","5.76","483002.52",3,"10.62"
"Congo, Dem. Rep.","female","58.44","3.60","42778149.96",4,"16.23"
"Congo, Dem. Rep.","male","54.89","3.60","42778149.96",4,"15.24"
"Congo, Rep.","female","62.41","2.16","1626112.30",4,"28.94"
"Congo, Rep.","male","60.12","2.16","1626112.30",4,"27.88"
"Costa Rica","female","81.92","7.30","1257597.26",2,"11.23"
"Costa Rica","male","76.52","7.30","1257597.26",2,"10.49"
"Cote d'Ivoire","female","57.51","3.86","12112806.78",4,"14.91"
"Cote d'Ivoire","male","54.53","3.86","12112806.78",4,"14.14"
"Croatia","female","79.79","7.09","1866206.52",2,"11.25"
"Croatia","male","73.18","7.09","1866206.52",2,"10.32"
"Cyprus","female","82.78","6.54","371839.96",2,"12.66"
"Cyprus","male","77.90","6.54","371839.96",2,"11.91"
"Czechia","female","80.60","7.23","2751255.21",2,"11.15"
"Czechia","male","74.46","7.23","2751255.21",2,"10.30"
"Denmark","female","81.61","9.77","732589.42",1,"8.36"
"Denmark","male","77.43","9.77","732589.42",1,"7.93"
"Djibouti","female","63.41","3.24","215277.09",4,"19.56"
"Djibouti","male","58.88","3.24","215277.09",4,"18.16"
"Dominican Republic","female","75.50","4.63","2546391.61",3,"16.30"
"Dominican Republic","male","68.79","4.63","2546391.61",3,"14.85"
"Ecuador","female","77.71","6.46","5693545.09",2,"12.02"
"Ecuador","male","71.86","6.46","5693545.09",2,"11.12"
"Egypt, Arab Rep.","female","71.60","4.77","52642218.22",3,"15.01"
"Egypt, Arab Rep.","male","66.96","4.77","52642218.22",3,"14.04"
"El Salvador","female","74.76","8.66","2039840.52",1,"8.63"
"El Salvador","male","65.50","8.66","2039840.52",1,"7.56"
"Estonia","female","80.19","6.10","419424.30",2,"13.15"
"Estonia","male","70.25","6.10","419424.30",2,"11.52"
"Eswatini","female","53.03","7.26","863574.87",2,"7.31"
"Eswatini","male","49.23","7.26","863574.87",2,"6.78"
"Ethiopia","female","61.84","4.13","76805916.87",4,"14.96"
"Ethiopia","male","57.59","4.13","76805916.87",4,"13.93"
"Fiji","female","68.61","3.62","421814.71",4,"18.97"
"Fiji","male","64.35","3.62","421814.71",4,"17.79"
"Finland","female","83.34","8.83","851819.74",1,"9.44"
"Finland","male","77.12","8.83","851819.74",1,"8.73"
"France","female","84.83","10.95","13844026.83",1,"7.75"
"France","male","78.09","10.95","13844026.83",1,"7.13"
"Gabon","female","66.88","2.95","247461.87",4,"22.63"
"Gabon","male","63.00","2.95","247461.87",4,"21.32"
"Gambia, The","female","62.82","4.66","861170.09",3,"13.49"
"Gambia, The","male","59.80","4.66","861170.09",3,"12.84"
"Georgia","female","76.47","7.79","1681350.48",2,"9.82"
"Georgia","male","67.49","7.79","1681350.48",2,"8.66"
"Germany","female","82.61","11.01","19145149.17",1,"7.50"
"Germany","male","77.44","11.01","19145149.17",1,"7.03"
"Ghana","female","63.32","3.50","12575536.39",4,"18.10"
"Ghana","male","60.01","3.50","12575536.39",4,"17.15"
"Greece","female","82.83","8.51","2551295.91",1,"9.73"
"Greece","male","77.71","8.51","2551295.91",1,"9.13"
"Grenada","female","77.23","5.24","71880.09",3,"14.75"
"Grenada","male","71.69","5.24","71880.09",3,"13.69"
"Guatemala","female","72.61","6.18","7537572.96",2,"11.74"
"Guatemala","male","66.84","6.18","7537572.96",2,"10.81"
"Guinea","female","57.55","4.17","7124557.30",4,"13.79"
"Guinea","male","55.45","4.17","7124557.30",4,"13.28"
"Guinea-Bissau","female","59.25","6.22","963130.22",2,"9.53"
"Guinea-Bissau","male","55.01","6.22","963130.22",2,"8.85"
"Guyana","female","69.87","4.00","560026.87",4,"17.45"
"Guyana","male","63.02","4.00","560026.87",4,"15.74"
"Haiti","female","63.38","4.01","5075547.65",4,"15.80"
"Haiti","male","58.69","4.01","5075547.65",4,"14.63"
"Honduras","female","72.67","7.78","4000958.87",2,"9.34"
"Honduras","male","67.93","7.78","4000958.87",2,"8.73"
"Hungary","female","78.19","7.15","3084467.71",2,"10.93"
"Hungary","male","70.72","7.15","3084467.71",2,"9.89"
"Iceland","female","83.71","8.75","21276.54",1,"9.57"
"Iceland","male","80.27","8.75","21276.54",1,"9.18"
"India","female","68.77","3.58","857632802.04",4,"19.24"
"India","male","65.86","3.58","857632802.04",4,"18.42"
"Indonesia","female","70.24","2.71","122761342.96",4,"25.89"
"Indonesia","male","66.55","2.71","122761342.96",4,"24.52"
"Iran, Islamic Rep.","female","76.15","5.89","22487454.30",2,"12.93"
"Iran, Islamic Rep.","male","72.04","5.89","22487454.30",2,"12.23"
"Iraq","female","71.01","3.62","10465883.70",4,"19.64"
"Iraq","male","65.39","3.62","10465883.70",4,"18.09"
"Ireland","female","82.60","7.92","1722736.22",2,"10.43"
"Ireland","male","78.21","7.92","1722736.22",2,"9.87"
"Israel","female","83.33","7.02","627229.83",2,"11.88"
"Israel","male","79.45","7.02","627229.83",2,"11.32"
"Italy","female","84.51","8.57","18250072.79",1,"9.86"
"Italy","male","79.50","8.57","18250072.79",1,"9.27"
"Jamaica","female","73.94","5.48","1259733.17",3,"13.49"
"Jamaica","male","69.36","5.48","1259733.17",3,"12.65"
"Japan","female","86.35","9.39","14540747.39",1,"9.19"
"Japan","male","79.82","9.39","14540747.39",1,"8.50"
"Jordan","female","76.45","7.95","1047502.83",2,"9.62"
"Jordan","male","72.24","7.95","1047502.83",2,"9.09"
"Kazakhstan","female","73.92","3.30","7460370.26",4,"22.37"
"Kazakhstan","male","63.64","3.30","7460370.26",4,"19.26"
"Kenya","female","62.05","4.57","32070394.91",3,"13.58"
"Kenya","male","58.76","4.57","32070394.91",3,"12.86"
"Kiribati","female","67.18","10.36","55517.70",1,"6.49"
"Kiribati","male","63.77","10.36","55517.70",1,"6.16"
"Korea, Rep.","female","83.73","6.33","9298361.38",2,"13.22"
"Korea, Rep.","male","77.24","6.33","9298361.38",2,"12.20"
"Kyrgyz Republic","female","73.86","6.25","3677376.85",2,"11.82"
"Kyrgyz Republic","male","65.81","6.25","3677376.85",2,"10.53"
"Lao PDR","female","66.23","2.89","4456492.39",4,"22.89"
"Lao PDR","male","61.85","2.89","4456492.39",4,"21.38"
"Latvia","female","78.27","6.09","669500.52",2,"12.85"
"Latvia","male","68.00","6.09","669500.52",2,"11.17"
"Lebanon","female","78.70","7.92","654618.57",2,"9.93"
"Lebanon","male","74.64","7.92","654618.57",2,"9.42"
"Lesotho","female","51.35","8.96","1546154.96",1,"5.73"
"Lesotho","male","46.65","8.96","1546154.96",1,"5.21"
"Liberia","female","59.76","8.08","2117222.61",2,"7.40"
"Liberia","male","57.04","8.08","2117222.61",2,"7.06"
"Lithuania","female","79.03","6.49","1010012.83",2,"12.18"
"Lithuania","male","68.29","6.49","1010012.83",2,"10.52"
"Luxembourg","female","83.48","5.98","58596.83",2,"13.95"
"Luxembourg","male","78.30","5.98","58596.83",2,"13.09"
"Madagascar","female","63.41","4.39","15306419.70",4,"14.45"
"Madagascar","male","60.44","4.39","15306419.70",4,"13.77"
"Malawi","female","60.23","5.62","13003128.09",3,"10.72"
"Malawi","male","55.36","5.62","13003128.09",3,"9.85"
"Malaysia","female","77.60","3.36","8259061.00",4,"23.11"
"Malaysia","male","72.46","3.36","8259061.00",4,"21.58"
"Maldives","female","78.12","8.76","242865.83",1,"8.92"
"Maldives","male","75.36","8.76","242865.83",1,"8.61"
"Mali","female","56.92","4.44","10395126.17",4,"12.83"
"Mali","male","55.08","4.44","10395126.17",4,"12.42"
"Malta","female","82.97","8.51","25993.78",1,"9.75"
"Malta","male","78.63","8.51","25993.78",1,"9.24"
"Marshall Islands","female","67.21","14.46","12923.78",1,"4.65"
"Marshall Islands","male","62.81","14.46","12923.78",1,"4.34"
"Mauritania","female","67.34","3.28","1846275.78",4,"20.54"
"Mauritania","male","63.29","3.28","1846275.78",4,"19.30"
"Mauritius","female","76.74","4.51","727626.74",3,"17.01"
"Mauritius","male","69.88","4.51","727626.74",3,"15.49"
"Mexico","female","76.10","5.40","24937113.78",3,"14.09"
"Mexico","male","70.87","5.40","24937113.78",3,"13.12"
"Micronesia, Fed. Sts.","female","68.42","13.31","85319.87",1,"5.14"
"Micronesia, Fed. Sts.","male","62.25","13.31","85319.87",1,"4.68"
"Moldova","female","73.50","8.48","1606897.78",1,"8.66"
"Moldova","male","65.02","8.48","1606897.78",1,"7.66"
"Mongolia","female","72.28","4.73","969535.13",3,"15.29"
"Mongolia","male","64.22","4.73","969535.13",3,"13.59"
"Montenegro","female","78.91","9.00","209220.33",1,"8.77"
"Montenegro","male","73.81","9.00","209220.33",1,"8.21"
"Morocco","female","72.90","4.89","13506208.57",3,"14.90"
"Morocco","male","69.28","4.89","13506208.57",3,"14.16"
"Mozambique","female","57.71","5.50","16215620.26",3,"10.50"
"Mozambique","male","54.02","5.50","16215620.26",3,"9.83"
"Myanmar","female","66.45","3.40","35078242.00",4,"19.53"
"Myanmar","male","60.62","3.40","35078242.00",4,"17.82"
"Namibia","female","59.96","9.46","1259906.09",1,"6.34"
"Namibia","male","54.48","9.46","1259906.09",1,"5.76"
"Nauru","female","63.56","13.01","0.00",1,"4.89"
"Nauru","male","57.92","13.01","0.00",1,"4.45"
"Nepal","female","68.41","4.45","22503827.00",4,"15.36"
"Nepal","male","65.17","4.45","22503827.00",4,"14.63"
"Netherlands","female","82.47","9.75","2206254.09",1,"8.46"
"Netherlands","male","78.59","9.75","2206254.09",1,"8.06"
"Nicaragua","female","74.18","7.38","2493148.87",2,"10.05"
"Nicaragua","male","68.32","7.38","2493148.87",2,"9.26"
"Niger","female","56.96","5.10","14764001.17",3,"11.16"
"Niger","male","55.67","5.10","14764001.17",3,"10.91"
"Nigeria","female","51.42","3.65","94525283.13",4,"14.08"
"Nigeria","male","50.59","3.65","94525283.13",4,"13.85"
"North Macedonia","female","76.74","7.30","821185.35",2,"10.52"
"North Macedonia","male","72.44","7.30","821185.35",2,"9.93"
"Norway","female","83.33","9.07","997665.52",1,"9.18"
"Norway","male","79.14","9.07","997665.52",1,"8.72"
"Pakistan","female","66.65","2.54","129485961.13",4,"26.28"
"Pakistan","male","62.73","2.54","129485961.13",4,"24.73"
"Panama","female","79.63","7.28","1267529.61",2,"10.94"
"Panama","male","73.22","7.28","1267529.61",2,"10.06"
"Papua New Guinea","female","65.97","2.41","6827365.57",4,"27.34"
"Papua New Guinea","male","61.30","2.41","6827365.57",4,"25.40"
"Paraguay","female","74.85","6.06","2375691.74",2,"12.34"
"Paraguay","male","69.47","6.06","2375691.74",2,"11.45"
"Peru","female","75.72","4.95","6995584.22",3,"15.31"
"Peru","male","71.25","4.95","6995584.22",3,"14.41"
"Philippines","female","72.09","3.98","52880518.21",4,"18.10"
