year,country_code,gender,value
1960,NLD,female,75.38
1960,NLD,male,71.5
1960,NIC,female,47.807
1960,NIC,male,44.998
1960,NER,female,36.584
1960,NER,male,35.715
1960,NGA,female,39.35
1960,NGA,male,35.161
1960,MKD,female,60.387
1960,MKD,male,60.611
1960,NOR,female,75.87
1960,NOR,male,71.34
1960,PAK,female,41.986
1960,PAK,male,45.964
1960,PAN,female,61.332
1960,PAN,male,59.297
1960,PNG,female,48.135
1960,PNG,male,44.055
1960,PRY,female,62.637
1960,PRY,male,57.797
1960,PER,female,52.134
1960,PER,male,49.113
1960,PHL,female,61.111
1960,PHL,male,57.438
1960,POL,female,70.6
1960,POL,male,64.9
1960,PRT,female,66.886
1960,PRT,male,61.266
1960,QAT,female,59.94
1960,QAT,male,55.762
1960,ROU,female,67.56
1960,ROU,male,64.242
1960,RUS,female,71.784
1960,RUS,male,63.471
1960,RWA,female,47.541
1960,RWA,male,46.478
1960,WSM,female,57.588
1960,WSM,male,53.048
1960,STP,female,44.997
1960,STP,male,42.28
1960,SEN,female,40.178
1960,SEN,male,39.138
1960,SRB,female,67.297
1960,SRB,male,63.964
1960,SYC,female,63.096
1960,SYC,male,58.089
1960,SLE,female,34.639
1960,SLE,male,31.574
1960,SVK,female,72.526
1960,SVK,male,68.121
1960,SVN,female,72.0
1960,SVN,male,66.1
1960,SLB,female,49.929
1960,SLB,male,46.04
1960,ZAF,female,54.578
1960,ZAF,male,50.823
1960,SSD,female,30.397
1960,SSD,male,25.994
1960,ESP,female,71.66
1960,ESP,male,66.68
1960,LKA,female,62.6
1960,LKA,male,59.065
1960,LCA,female,59.646
1960,LCA,male,55.837
1960,SDN,female,50.474
1960,SDN,male,48.672
1960,SUR,female,58.68
1960,SUR,male,54.81
1960,SWE,female,74.87
1960,SWE,male,71.23
1960,CHE,female,74.11
1960,CHE,male,68.65
1960,SYR,female,53.535
1960,SYR,male,51.996
1960,TJK,female,54.626
1960,TJK,male,50.464
1960,TZA,female,43.986
1960,TZA,male,41.204
1960,THA,female,52.339
1960,THA,male,48.987
1960,TLS,female,33.882
1960,TLS,male,31.021
1960,TGO,female,45.103
1960,TGO,male,41.988
1960,TON,female,61.1
1960,TON,male,55.861
1960,TTO,female,64.14
1960,TTO,male,60.989
1960,TUN,female,45.084
1960,TUN,male,43.039
1960,TUR,female,53.822
1960,TUR,male,48.044
1960,TKM,female,56.525
1960,TKM,male,48.031
1960,TUV,female,50.889
1960,TUV,male,45.774
1960,UGA,female,47.628
1960,UGA,male,43.882
1960,UKR,female,71.989
1960,UKR,male,65.912
1960,ARE,female,54.635
1960,ARE,male,48.027
1960,GBR,female,74.2
1960,GBR,male,68.2
1960,USA,female,73.1
1960,USA,male,66.6
1960,URY,female,70.997
1960,URY,male,64.758
1960,UZB,female,58.759
1960,UZB,male,54.268
1960,VUT,female,50.953
1960,VUT,male,49.196
1960,VEN,female,60.397
1960,VEN,male,56.523
1960,VNM,female,61.189
1960,VNM,male,55.054
1960,PSE,female,
1960,PSE,male,
1960,YEM,female,36.028
1960,YEM,male,31.105
1960,ZMB,female,51.708
1960,ZMB,male,49.581
1960,ZWE,female,55.963
1960,ZWE,male,51.077
1961,ALB,female,59.995
1961,ALB,male,55.028
1961,DZA,female,43.77
1961,DZA,male,38.194
1961,AGO,female,39.885
1961,AGO,male,34.266
1961,ARG,female,68.236
1961,ARG,male,61.526
1961,ARM,female,62.598
1961,ARM,male,56.538
1961,AUS,female,74.2
1961,AUS,male,67.9
1961,AUT,female,72.84
1961,AUT,male,66.47
1961,AZE,female,55.513
1961,AZE,male,47.15
1961,BGD,female,44.016
1961,BGD,male,45.693
1961,BLR,female,73.124
1961,BLR,male,66.514
1961,BEL,female,73.63
1961,BEL,male,67.56
1961,BLZ,female,53.689
1961,BLZ,male,52.228
1961,BEN,female,41.271
1961,BEN,male,37.167
1961,BTN,female,37.615
1961,BTN,male,35.767
1961,BOL,female,45.838
1961,BOL,male,41.471
1961,BIH,female,61.219
1961,BIH,male,57.258
1961,BWA,female,53.716
1961,BWA,male,49.702
1961,BRA,female,55.954
1961,BRA,male,51.42
1961,BGR,female,72.06
1961,BGR,male,68.42
1961,BFA,female,37.564
1961,BFA,male,35.259
1961,BDI,female,44.657
1961,BDI,male,41.998
1961,CPV,female,50.552
1961,CPV,male,48.068
1961,CMR,female,42.276
1961,CMR,male,29.831
1961,CAN,female,74.45
1961,CAN,male,68.39
1961,CAF,female,41.112
1961,CAF,male,39.009
1961,TCD,female,40.854
1961,TCD,male,38.005
1961,CHL,female,59.964
1961,CHL,male,54.852
1961,CHN,female,41.897
1961,CHN,male,38.621
1961,COL,female,59.028
1961,COL,male,55.39
1961,COM,female,43.005
1961,COM,male,39.385
1961,COD,female,41.639
1961,COD,male,38.587
1961,COG,female,49.838
1961,COG,male,46.897
1961,CRI,female,65.111
1961,CRI,male,62.622
1961,CIV,female,40.076
1961,CIV,male,35.929
1961,HRV,female,68.923
1961,HRV,male,63.892
1961,CYP,female,67.935
1961,CYP,male,60.596
1961,CZE,female,73.55
1961,CZE,male,67.62
1961,DNK,female,74.4
1961,DNK,male,70.57
1961,DJI,female,45.707
1961,DJI,male,41.909
1961,DOM,female,54.072
1961,DOM,male,50.976
1961,ECU,female,56.072
1961,ECU,male,52.093
1961,EGY,female,48.025
1961,EGY,male,42.506
1961,SLV,female,50.726
1961,SLV,male,46.615
1961,EST,female,73.283
1961,EST,male,65.073
1961,SWZ,female,48.198
1961,SWZ,male,45.244
1961,ETH,female,43.779
1961,ETH,male,36.889
1961,FJI,female,61.402
1961,FJI,male,57.492
1961,FIN,female,72.24
1961,FIN,male,65.61
1961,FRA,female,73.6
1961,FRA,male,66.8
1961,GAB,female,49.785
1961,GAB,male,44.537
1961,GMB,female,35.812
1961,GMB,male,34.312
1961,GEO,female,66.237
1961,GEO,male,57.147
1961,DEU,female,72.38
1961,DEU,male,67.04
1961,GHA,female,49.363
1961,GHA,male,45.197
1961,GRC,female,72.508
1961,GRC,male,68.164
