year,country_code,pop_density,net_migration,birth_rate,death_rate,rural_pop,urban_pop
1960,MLI,,-10314.0,50.784,34.347,4804704.0,597846.0
1960,MLT,,-5540.0,26.2,8.6,32234.0,294316.0
1960,MMR,,8807.0,41.919,20.518,17552392.0,4177858.0
1960,MNE,,-2467.0,28.633,9.606,390288.0,90291.0
1960,MNG,,10334.0,44.129,22.928,628799.0,348796.0
1960,MOZ,,-54351.0,48.26,23.568,6252598.0,461097.0
1960,MRT,,-318.0,46.249,20.04,767586.0,56712.0
1960,MUS,,-7083.0,39.407,10.111,439093.0,237590.0
1960,MWI,,0.0,53.727,30.101,3468859.0,159275.0
1960,MYS,,-46948.0,42.885,11.326,5840008.0,2116189.0
1960,NAM,,-3227.0,42.089,17.901,485540.0,105925.0
1960,NER,,-3641.0,57.613,27.633,3302002.0,203048.0
1960,NGA,,12131.0,46.462,26.457,38110994.0,6942788.0
1960,NIC,,-2418.0,50.042,18.812,1076890.0,705480.0
1960,NLD,,-13235.0,20.8,7.6,4623139.0,6863492.0
1960,NOR,,-1427.0,17.3,9.1,1793484.0,1787755.0
1960,NPL,,-13223.0,44.806,24.717,9771355.0,352303.0
1960,NRU,,76.0,26.939,11.413,0.0,4607.0
1960,PAK,,0.0,46.693,20.065,35605724.0,10103586.0
1960,PAN,,-2409.0,41.064,9.598,661539.0,464466.0
1960,PER,,-7236.0,46.913,17.139,5411516.0,4762611.0
1960,PHL,,-155354.0,47.158,10.014,19441489.0,8450408.0
1960,PNG,,-2034.0,45.13,16.898,1920792.0,74318.0
1960,POL,,-6306.0,22.6,7.6,15443482.0,14193968.0
1960,PRT,,-95886.0,24.1,10.7,5761501.0,3096215.0
1960,PRY,,-16811.0,42.421,10.561,1213567.0,669947.0
1960,PSE,,-17662.0,,,,
1960,QAT,,1586.0,45.268,11.403,5302.0,30708.0
1960,ROU,,-55397.0,19.1,8.7,12110087.0,6296818.0
1960,RUS,,-234895.0,23.881,7.51,55475143.0,64421857.0
1960,RWA,,-13198.0,52.88,19.585,2943714.0,78580.0
1960,SDN,,2194.0,47.667,16.316,7465641.0,898848.0
1960,SEN,,9337.0,50.359,24.996,2572498.0,768409.0
1960,SLB,,-917.0,46.768,17.278,131631.0,8057.0
1960,SLE,,-3528.0,48.001,31.164,1874751.0,393605.0
1960,SLV,,-4885.0,47.019,17.807,1720823.0,1070636.0
1960,SRB,,4377.0,18.514,8.928,4709435.0,1929557.0
1960,SSD,,995.0,52.027,37.378,2675106.0,256453.0
1960,STP,,-860.0,44.558,21.812,57080.0,10932.0
1960,SUR,,544.0,44.879,13.922,139190.0,124728.0
1960,SVK,,4344.0,21.7,7.8,2706748.0,1361347.0
1960,SVN,,-929.0,17.6,9.6,1137766.0,446954.0
1960,SWE,,1080.0,13.7,10.0,2059029.0,5425627.0
