year,country_code,employers,vulnerable_emp,child_emp,part_time,labor_force_fem,labor_force_total,unemp
1975,SYR,,,,,,,4.81
1975,THA,,,,,,,0.45
1975,TTO,,,,,,,14.99
1975,USA,,,,,,,8.5
1975,VEN,,,,,,,7.01
1976,ARG,,,,,,,4.5
1976,AUT,,,,,,,2.0
1976,BEL,,,,,,,6.5
1976,BOL,,,,,,,5.3
1976,BRA,,,,,,,1.92
1976,CAN,,,,34.78,,,7.09
1976,CHE,,,,,,,0.7
1976,CHL,,,,,,,12.75
1976,CYP,,,,,,,7.4
1976,DNK,,,,,,,5.3
1976,ESP,,,,,,,2.9
1976,FIN,,,,,,,3.75
1976,FRA,,,,,,,4.47
1976,GBR,,,,,,,5.5
1976,IDN,,,,,,,1.92
1976,ISR,,,,,,,3.47
1976,ITA,,,,,,,6.64
1976,JAM,,,,,,,21.81
1976,JPN,,,,,,,2.0
1976,KOR,,,,,,,3.808
1976,NOR,,,,,,,1.76
1976,PAK,,,,,,,1.9
1976,PAN,,,,,,,6.67
1976,PER,,,,,,,5.2
1976,PHL,,,,,,,4.8
1976,PRT,,,,,,,6.4
1976,SWE,,,,,,,1.61
1976,SYR,,,,,,,6.2
1976,THA,,,,,,,0.6
1976,USA,,,,,,,7.7
1976,VEN,,,,,,,6.34
1977,ARG,,,,,,,2.8
1977,AUT,,,,,,,1.8
1977,BEL,,,,,,,5.67
1977,BOL,,,,,,,5.3
1977,BRA,,,,,,,2.32
1977,CAN,,,,34.05,,,8.049
1977,CHE,,,,,,,0.4
1977,CHL,,,,,,,11.83
1977,COL,,,,,,,9.4
1977,CYP,,,,,,,3.1
1977,DNK,,,,,,,6.4
1977,ECU,,,,,,,5.8
1977,EGY,,,,,,,3.13
1977,ESP,,,,,,,5.2
1977,FIN,,,,,,,6.09
1977,FRA,,,,,,,5.01
1977,GBR,,,,,,,5.8
1977,IDN,,,,,,,1.29
1977,ITA,,,,,,,7.12
1977,JPN,,,,,,,2.0
1977,KOR,,,,,,,3.806
1977,MRT,,,,,,,14.14
1977,NLD,,,,,,,5.88
1977,NOR,,,,,,,1.46
1977,PAK,,,,,,,1.9
1977,PAN,,,,,,,8.73
1977,PER,,,,,,,5.82
1977,PHL,,,,,,,4.47
1977,SYR,,,,,,,5.0
1977,THA,,,,,,,0.9
1977,TTO,,,,,,,8.98
1977,USA,,,,,,,7.1
1977,VEN,,,,,,,5.11
1978,ARG,,,,,,,2.8
1978,AUT,,,,,,,2.1
1978,BEL,,,,,,,7.9
1978,BOL,,,,,,,5.5
1978,BRA,,,,,,,2.36
1978,CAN,,,,30.88,,,8.376
1978,CHE,,,,,,,0.4
1978,CHL,,,,,,,14.26
1978,CHN,,,,,,,5.3
1978,CYP,,,,,,,2.0
1978,DNK,,,,,,,7.3
1978,EGY,,,,,,,3.64
1978,ESP,,,,,,,6.97
1978,FIN,,,,,,,7.23
1978,FRA,,,,,,,5.27
1978,GBR,,,,,,,5.7
1978,IDN,,,,,,,2.48
1978,ISR,,,,,,,3.42
1978,ITA,,,,,,,7.24
1978,JAM,,,,,,,23.72
1978,JPN,,,,,,,2.2
1978,KOR,,,,,,,3.167
1978,NOR,,,,,,,1.8
1978,PAK,,,,,,,4.18
1978,PAN,,,,,,,8.06
1978,PER,,,,,,,6.5
1978,PHL,,,,,,,4.0
1978,PRT,,,,,,,7.89
1978,SDN,,,,,,,19.4
1978,SLV,,,,,,,3.73
1978,SYR,,,,,,,4.5
1978,THA,,,,,,,0.75
1978,TTO,,,,,,,7.27
1978,USA,,,,,,,6.1
1978,VEN,,,,,,,4.98
1979,ARG,,,,,,,2.0
1979,AUS,,,,,,,6.265
1979,AUT,,,,,,,2.0
1979,BEL,,,,,,,6.96
1979,BOL,,,,,,,5.6
1979,BRA,,,,,,,2.76
1979,CAN,,,,30.19,,,7.525
1979,CHE,,,,,,,0.4
1979,CHL,,,,,,,13.63
1979,CHN,,,,,,,5.4
1979,CYP,,,,,,,1.7
1979,DNK,,,,,,,6.1
1979,EGY,,,,,,,4.55
1979,ESP,,,,,,,8.61
1979,FIN,,,,,,,6.2
1979,FRA,,,,,,,6.03
1979,GBR,,,,,,,5.3
1979,ISR,,,,,,,2.78
1979,ITA,,,,,,,7.64
1979,JPN,,,,,,,2.1
1979,KOR,,,,,,,3.812
1979,NLD,,,,,,,6.16
1979,NOR,,,,,,,1.99
1979,PAK,,,,,,,4.12
1979,PAN,,,,,,,8.78
1979,PER,,,,,,,7.12
1979,PHL,,,,,,,3.5
1979,PRT,,,,,,,7.94
1979,PRY,,,,,,,5.69
1979,SLV,,,,,,,6.79
1979,STP,,,,,,,0.61
1979,SYR,,,,,,,3.8
1979,THA,,,,,,,0.92
1979,TTO,,,,,,,6.75
1979,USA,,,,,,,5.8
1979,VEN,,,,,,,5.81
1980,ALB,,,,,,,5.6
1980,ARG,,,,,,,2.3
1980,AUS,,,,,,,6.105
1980,AUT,,,,,,,1.9
1980,BEL,,,,,,,9.1
1980,BOL,,,,,,,6.1
