year,country_code,tax_revenue,inflation,gdp
1960,AUS,,,18607682977.229275
1960,AUT,,,6624086313.143343
1960,BDI,,,195999989.80792
1960,BEL,,,11810619368.387356
1960,BEN,,,226195578.43449736
1960,BFA,,,330442815.8211856
1960,BGD,,,4274894083.3333335
1960,BLZ,,,28072478.072478075
1960,BOL,,,373250000.0
1960,BRA,,,17030465539.390615
1960,BWA,,,30411413.655282825
1960,CAF,,,112155598.49215747
1960,CAN,,,40563768946.95027
1960,CHE,,,10412232620.52584
1960,CHL,,,4110000000.0
1960,CHN,,,59716249310.97416
1960,CIV,,,546203559.3443607
1960,CMR,,,614206068.4972658
1960,COD,,,3359404117.647059
1960,COG,,,131731862.78301702
1960,COL,,,4031152976.639036
1960,CRI,,,507513829.9948548
1960,DEU,,,84619845881.26076
1960,DNK,,,6361166544.503492
1960,DOM,,,672399700.0
1960,DZA,,,2723615451.3009768
1960,ECU,,,2069464937.1979053
1960,EGY,,,4206270175.3169856
1960,ESP,,,12424514013.76044
1960,ETH,,,1610511693.8421474
1960,FIN,,,5279481824.129828
1960,FJI,,,112328422.113084
1960,FRA,,,61756878990.29999
1960,GAB,,,141468977.79984602
1960,GBR,,,73233967692.10281
1960,GHA,,,1217230094.9720452
1960,GRC,,,4274890306.82895
1960,GTM,,,1043599900.0
1960,GUY,,,170216241.12606385
1960,HND,,,335650000.0
1960,HTI,,,273187200.0
1960,IND,,,37029883876.18388
1960,IRL,,,1998550221.805544
1960,IRN,,,4199134389.90099
1960,IRQ,,,1537252193.0991228
1960,ISL,,,252169712.0421248
1960,ISR,,,3064824613.79481
1960,ITA,,,42012422612.39553
1960,JAM,,,699064380.3742479
1960,JPN,,,47419238274.461945
1960,KEN,,,791265459.4938163
1960,KOR,,,3958811881.188119
1960,LBR,,,190495600.0
1960,LKA,,,1409873949.579832
1960,LSO,,,34579986.16800553
1960,LUX,,,709941874.0443548
1960,MAR,,,2037154741.9321053
1960,MDG,,,673081724.7511678
1960,MEX,,,13040000000.0
1960,MMR,,,545098447.6408623
1960,MUS,,,162089563.82956383
1960,MYS,,,1916229477.1365664
1960,NER,,,449526873.2958902
1960,NGA,,,4196174501.5302
1960,NIC,,,227223322.14153728
1960,NLD,,,13282979014.562971
1960,NOR,,,5197398721.413668
1960,NPL,,,508334413.9650873
1960,PAK,,,3749265014.6997066
1960,PAN,,,537147100.0
1960,PER,,,2571986572.127192
1960,PHL,,,7515894110.564875
1960,PNG,,,230496036.8793659
1960,PRT,,,3339150157.8560543
1960,PRY,,,288884368.0169337
1960,RWA,,,119000024.0
1960,SDN,,,1126364161.7644002
1960,SEN,,,1003692370.4686906
1960,SLE,,,322009961.5470484
1960,SUR,,,99650000.0
1960,SWE,,,15930258332.069029
1960,SWZ,,,35076845.96926162
1960,SYC,,,12012024.62465048
1960,SYR,,,857704413.4078212
1960,TCD,,,313582728.1475742
1960,TGO,,,171057069.13777205
1960,THA,,,2760750860.621967
1960,TTO,,,535673252.2603375
1960,TUR,,,7566666666.666666
1960,TZA,,,2651729807.3880773
1960,UGA,,,423145605.04316384
1960,URY,,,1242289239.2049348
1960,USA,,,541988586206.897
1960,VEN,,,7663938303.071715
1960,ZAF,,,8748596500.5614
1960,ZMB,,,698739720.7836072
1960,ZWE,,,1052990400.0
1961,ARG,,20.31069752905084,
1961,AUS,,3.2219679561588777,19684003149.440502
1961,AUT,,5.087153716820538,7346566037.833918
1961,BDI,,20.077436343142423,202999991.80106
1961,BEL,,1.315468694276774,12561701694.33192
1961,BEN,,1.041435673965708,235668220.5082016
1961,BFA,,1.9006082405977909,350247234.26071155
1961,BGD,,6.257481578670877,4817580375.0
1961,BLZ,,1.7630270463230318,29964999.964999966
1961,BOL,,6.548173311543224,406000000.0
1961,BRA,,34.617804941998145,17275940449.383743
1961,BWA,,1.933946545733221,32902612.86648552
1961,CAF,,4.635018524074866,123134583.46355905
1961,CAN,,2.4444270798043704,41038192837.90354
1961,CHE,,4.058289237286729,11713348834.306866
1961,CHL,,6.568981592557634,4829238095.238095
