year,country_code,preprim_enrol,prim_enrol,child_out_of_school,sec_enrol,progression_to_sec,terti_enrol,expenditure
1970,ARG,23.4448699951172,105.769477844238,157470.0,44.7096214294434,29.73252,13.3775901794434,1.4580899477005
1970,AUS,,,,84.050537109375,,16.6101608276367,
1970,AUT,,,,,,,4.14716005325317
1970,BGD,,53.9459381103516,4946632.0,,,2.04375004768372,
1970,BOL,23.9349708557129,86.870231628418,,27.3960800170898,,,
1970,BRA,,120.172958374023,3160431.0,25.954610824585,55.06254,4.76611995697021,
1970,BTN,,21.1122493743896,,2.47616004943848,,,
1970,BWA,,67.9403076171875,61657.0,8.30177974700928,,0.0,
1970,CHE,,,,,,,3.39252996444702
1970,CHL,23.2902698516846,118.962921142578,,44.7314910888672,91.81019,8.33915996551514,
1970,CHN,,120.340057373047,,25.7861003875732,,0.127250000834465,
1970,CIV,,54.6450119018555,,,,,5.86538982391357
1970,COG,,,,,,,5.7322998046875
1970,COL,,106.750198364258,,24.5422592163086,,4.29116010665894,
1970,CRI,6.32121992111206,107.173141479492,42534.0,27.6502208709717,49.92744,8.59463024139404,
1970,DNK,,,,,,,5.95553016662598
1970,DOM,,,,,,,2.64078998565674
1970,ECU,,,,,,,2.00283002853394
1970,ESP,,,,,,,1.83300995826721
1970,FIN,,,,,,,5.413489818573
1970,FJI,,101.450141906738,,52.9584693908691,,0.713900029659271,
1970,FRA,,,,,,,3.4297399520874
1970,GRC,,,,,,,1.54649996757507
1970,GTM,,57.3265190124512,456731.0,10.1880903244019,61.61498,3.17480993270874,1.85871994495392
1970,GUY,,,,,,,4.32897996902466
1970,HND,3.57352995872498,80.3665771484375,,12.2039299011231,,,
1970,HUN,,,,,,,3.45141005516052
1970,IDN,5.10835981369019,84.4806289672852,,18.2428398132324,,2.76640009880066,
1970,ITA,,,,,,,3.36681008338928
1970,JOR,,,,,,,3.63003993034363
1970,KEN,,59.7099914550781,,17.325439453125,94.18037,0.814880013465881,
1970,KIR,,,,11.2985095977783,,,4.79312992095947
1970,KOR,,,,,,,3.41404008865356
1970,LBR,46.5404014587402,36.223201751709,,9.34745025634766,,0.891369998455048,
1970,LKA,,102.650672912598,,48.0175704956055,,1.04718005657196,
1970,LSO,,88.4097595214844,79924.0,11.678370475769,,0.474169999361038,
1970,LUX,72.3108291625977,115.793876647949,,,,,2.30026006698608
1970,MDV,10.9199800491333,,,1.7668000459671,,,
1970,MLT,36.4390182495117,,,,,7.0781397819519,
1970,MNG,16.9663200378418,,,,,23.5242805480957,
1970,MUS,20.5835704803467,104.524230957031,,,,2.38376998901367,
1970,MYS,,91.9931488037109,158150.0,39.5597686767578,,,
1970,NGA,,41.9375190734863,,4.48457002639771,,,
1970,NIC,3.1229100227356,68.5646133422852,193379.0,17.7437305450439,,4.05115985870361,2.03858995437622
1970,NLD,,,,,,,6.22114992141724
1970,NPL,,24.9120502471924,,,,,
1970,PAN,14.6247100830078,100.913917541504,62291.0,38.2630310058594,,6.42994022369385,4.04328012466431
1970,PER,5.66509008407593,105.794387817383,505515.0,35.9058799743652,,9.82075977325439,
1970,PNG,0.0,46.6968383789062,,8.61816024780273,,,
1970,PRY,3.1409900188446,102.615097045898,70262.0,17.0516605377197,,3.89762997627258,2.10519003868103
1970,RUS,,,,,,43.8706512451172,
1970,SLB,0.257789999246597,66.1730422973633,,7.89176988601685,,,
1970,SLV,6.81883001327515,84.8238906860352,202694.0,22.3400802612305,65.44442,2.93757009506226,
1970,SWZ,,78.0644073486328,38979.0,16.2447299957275,68.13008,0.48089000582695,
1970,SYC,,98.9168930053711,,30.3603591918945,89.45148,,4.18847990036011
1970,TGO,,,,,,,1.49680995941162
1970,TON,,113.855079650879,1558.0,83.8339691162109,,0.0,
1970,TZA,,34.7351989746094,,2.72036004066467,,0.169540002942085,
1970,UGA,,36.7823295593262,,3.47561001777649,,0.469049990177155,
1970,UKR,,,,,,,4.57292985916138
1970,URY,,114.343650817871,,59.7660293579102,,,
1970,VEN,,,,,,,4.16286993026733
1970,VUT,4.01002979278564,123.219230651855,,5.75665998458862,,,
1970,WSM,0.735090017318726,82.3442306518555,,54.7651901245117,,0.90583997964859,
1970,ZAF,,100.297157287598,1277426.0,,,3.93013000488281,
1970,ZMB,,85.0757675170898,,12.4886102676392,,0.396259993314743,4.38781023025513
1970,ZWE,,71.807502746582,,7.05265998840332,,,
1971,ARG,24.9376602172852,106.752098083496,,45.6421089172363,,15.4409799575806,
1971,AUS,73.7754211425781,112.219841003418,38629.0,,,17.6301708221436,
1971,AUT,30.8231906890869,102.73796081543,49370.0,87.5298461914062,,11.6728096008301,4.28235006332397
1971,BGD,,50.2889289855957,,,,,
1971,BOL,26.52174949646,86.5315933227539,,28.9934005737305,,,
1971,BRA,,124.864677429199,,28.109260559082,69.46805,6.04819011688232,
1971,BTN,,20.9551601409912,,2.8543701171875,,,1.87578999996185
1971,BWA,,62.9489898681641,66531.0,9.63852024078369,,0.0,4.38723993301392
1971,CHE,,,,,,10.4794702529907,3.49644994735718
1971,CHL,26.4719505310059,125.903480529785,,51.2206497192383,91.30646,10.4641103744507,
1971,CHN,,111.981750488281,,34.4675598144531,,,1.38873994350433
1971,CIV,1.22395002841949,56.3409614562988,,9.10976028442383,,0.988309979438782,
1971,COG,0.271710008382797,103.811431884766,,15.9177103042603,48.80567,1.45869994163513,5.550950050354
1971,COL,,109.75316619873,,26.4407901763916,,4.77374982833862,
1971,CRI,7.78532981872559,106.79573059082,,29.3859996795654,54.5233,9.399169921875,
