year,country_code,pop_ages,gender,number
1960,TCD,65+,female,67273.0
1960,TCD,65+,male,54120.0
1960,CHL,0-14,female,1603729.0
1960,CHL,0-14,male,1631039.0
1960,CHL,15-64,female,2304815.0
1960,CHL,15-64,male,2341526.0
1960,CHL,65+,female,149814.0
1960,CHL,65+,male,122426.0
1960,CHN,0-14,female,130716837.0
1960,CHN,0-14,male,138338155.0
1960,CHN,15-64,female,180038039.0
1960,CHN,15-64,male,191521196.0
1960,CHN,65+,female,15303794.0
1960,CHN,65+,male,11151978.0
1960,COL,0-14,female,3607999.0
1960,COL,0-14,male,3693460.0
1960,COL,15-64,female,3975810.0
1960,COL,15-64,male,3883766.0
1960,COL,65+,female,251192.0
1960,COL,65+,male,193984.0
1960,COM,0-14,female,41085.0
1960,COM,0-14,male,41208.0
1960,COM,15-64,female,55221.0
1960,COM,15-64,male,53142.0
1960,COM,65+,female,3849.0
1960,COM,65+,male,3196.0
1960,COD,0-14,female,3291957.0
1960,COD,0-14,male,3254239.0
1960,COD,15-64,female,4399118.0
1960,COD,15-64,male,3859097.0
1960,COD,65+,female,278175.0
1960,COD,65+,male,182261.0
1960,COG,0-14,female,225390.0
1960,COG,0-14,male,225937.0
1960,COG,15-64,female,287213.0
1960,COG,15-64,male,280743.0
1960,COG,65+,female,20710.0
1960,COG,65+,male,16739.0
1960,CRI,0-14,female,302642.0
1960,CRI,0-14,male,313810.0
1960,CRI,15-64,female,336259.0
1960,CRI,15-64,male,334470.0
1960,CRI,65+,female,21484.0
1960,CRI,65+,male,18830.0
1960,CIV,0-14,female,804226.0
1960,CIV,0-14,male,780551.0
1960,CIV,15-64,female,966771.0
1960,CIV,15-64,male,1033440.0
1960,CIV,65+,female,46923.0
1960,CIV,65+,male,41755.0
1960,HRV,0-14,female,560674.0
1960,HRV,0-14,male,557673.0
1960,HRV,15-64,female,1450658.0
1960,HRV,15-64,male,1270463.0
1960,HRV,65+,female,187091.0
1960,HRV,65+,male,113622.0
1960,CYP,0-14,female,105265.0
1960,CYP,0-14,male,108778.0
1960,CYP,15-64,female,175957.0
1960,CYP,15-64,male,162271.0
1960,CYP,65+,female,17664.0
1960,CYP,65+,male,16555.0
1960,CZE,0-14,female,1202680.0
1960,CZE,0-14,male,1257826.0
1960,CZE,15-64,female,3200071.0
1960,CZE,15-64,male,3040646.0
1960,CZE,65+,female,541127.0
1960,CZE,65+,male,359656.0
1960,DNK,0-14,female,563173.0
1960,DNK,0-14,male,591247.0
1960,DNK,15-64,female,1484251.0
1960,DNK,15-64,male,1455945.0
