region_code,region_name
SSA,Sub-Saharan Africa
ECA,Europe & Central Asia
OHI,Other High Income Countries
LAC,Latin America & Caribbean
SAS,South Asia
EAP,East Asia & Pacific
MNA,Middle East & North Africa
