country_code,survey_year,survey_acronym,survey_coverage,reporting_level,name,value
ALB,2019,HBS,national,national,decile1,0.035359825851
ALB,2020,HBS,national,national,decile1,0.034180198398
ARE,2013,HIES,national,national,decile1,0.023497326715
ARE,2018,HIES,national,national,decile1,0.028349685726
ARG,1980,EPH,urban,urban,decile1,0.020098563654
ARG,1986,EPH,urban,urban,decile1,0.017773314403
ARG,1987,EPH,urban,urban,decile1,0.015682231592
ARG,1991,EPH,urban,urban,decile1,0.017506222393
AUT,2000,ECHP-LIS,national,national,decile1,0.034945578332
AUT,2003,EU-SILC,national,national,decile1,0.033030120802
AUT,2004,EU-SILC,national,national,decile1,0.034279356351
AUT,2005,EU-SILC,national,national,decile1,0.034944506612
AUT,2006,EU-SILC,national,national,decile1,0.034095761645
AUT,2007,EU-SILC,national,national,decile1,0.030523142643
AUT,2008,EU-SILC,national,national,decile1,0.030074068308
AUT,2009,EU-SILC,national,national,decile1,0.028251473032
AUS,2016,SIH-HES-LIS,national,national,decile1,0.029122686477
AUS,2018,SIH-LIS,national,national,decile1,0.027646809207
AUT,1994,ECHP-LIS,national,national,decile1,0.031459632254
AUT,1995,ECHP-LIS,national,national,decile1,0.032714570508
AUT,1996,ECHP-LIS,national,national,decile1,0.035086718358
AUT,1997,ECHP-LIS,national,national,decile1,0.033649691159
AUT,1998,ECHP-LIS,national,national,decile1,0.03299687455
AUT,1999,ECHP-LIS,national,national,decile1,0.035933506538
AUS,1989,SIHCA-LIS,national,national,decile1,0.02723261092
AUS,1995,SIH-LIS,national,national,decile1,0.029419698164
AUS,2001,SIH-LIS,national,national,decile1,0.0283778516
AUS,2003,SIH-LIS,national,national,decile1,0.028075720396
AUS,2004,SIH-HES-LIS,national,national,decile1,0.030986939162
AUS,2008,SIH-LIS,national,national,decile1,0.028014352433
AUS,2010,SIH-HES-LIS,national,national,decile1,0.02750866248
AUS,2014,SIH-LIS,national,national,decile1,0.029329559365
AZE,2004,HBS,national,national,decile1,0.047993988085
AZE,2005,HBS,national,national,decile1,0.048477501263
BDI,1992,EDCM,national,national,decile1,0.034137463895
BDI,1998,EP,national,national,decile1,0.019130418459
BDI,2006,QUIBB,national,national,decile1,0.040130700715
BDI,2013,ECVMB,national,national,decile1,0.027638253438
BDI,2020,EICVMB,national,national,decile1,0.028761088979
BEL,1985,SEP-LIS,national,national,decile1,0.041522921167
AUT,2018,EU-SILC,national,national,decile1,0.029529680929
AUT,2019,EU-SILC,national,national,decile1,0.028982424612
AUT,2020,EU-SILC,national,national,decile1,0.028515489763
AUT,2021,EU-SILC,national,national,decile1,0.027646330545
AZE,1995,SLC,national,national,decile1,0.027118004131
AZE,2001,HBS,national,national,decile1,0.030568906484
AZE,2002,HBS,national,national,decile1,0.048386017594
AZE,2003,HBS,national,national,decile1,0.044730098204
AUT,2010,EU-SILC,national,national,decile1,0.030837594051
AUT,2011,EU-SILC,national,national,decile1,0.029257317156
AUT,2012,EU-SILC,national,national,decile1,0.028480542772
AUT,2013,EU-SILC,national,national,decile1,0.031055540848
AUT,2014,EU-SILC,national,national,decile1,0.030973865208
AUT,2015,EU-SILC,national,national,decile1,0.029848094891
AUT,2016,EU-SILC,national,national,decile1,0.027919483437
AUT,2017,EU-SILC,national,national,decile1,0.030382012649
ARG,1992,EPH,urban,urban,decile1,0.016104108599
AGO,2008,IBEP-MICS,national,national,decile1,0.020722704667
AGO,2018,IDREA,national,national,decile1,0.013348494052
ALB,1996,EWS,national,national,decile1,0.038817883466
ALB,2002,LSMS,national,national,decile1,0.03523453383
ALB,2005,LSMS,national,national,decile1,0.034870461608
ALB,2008,LSMS,national,national,decile1,0.037382980864
ALB,2012,LSMS,national,national,decile1,0.036604352903
BGR,2008,EU-SILC,national,national,decile1,0.024237332431
BGR,2009,EU-SILC,national,national,decile1,0.023716101582
BGR,2010,EU-SILC,national,national,decile1,0.021083139585
BGR,2011,EU-SILC,national,national,decile1,0.020693177019
BGR,2012,EU-SILC,national,national,decile1,0.01998596046
BGR,2013,EU-SILC,national,national,decile1,0.017926786254
BGR,2014,EU-SILC,national,national,decile1,0.019637531584
BGR,2015,EU-SILC,national,national,decile1,0.015425827433
BGR,1994,HBS,national,national,decile1,0.043873412101
BGR,1995,IHS,national,national,decile1,0.030167271417
BGR,1997,IHS,national,national,decile1,0.045236956262
BGR,2001,IHS,national,national,decile1,0.025762588038
BGR,2003,MTHS,national,national,decile1,0.034437522517
BGR,2006,EU-SILC,national,national,decile1,0.016326414508
BGR,2007,MTHS,national,national,decile1,0.032686607364
BGR,2007,EU-SILC,national,national,decile1,0.022035111915
BGD,1995,HHES,national,national,decile1,0.037807412372
BGD,2000,HIES,national,national,decile1,0.03735900846
BGD,2005,HIES,national,national,decile1,0.038497791253
BGD,2010,HIES,national,national,decile1,0.038536179146
BGD,2016,HIES,national,national,decile1,0.036990117719
BGD,2022,HIES,national,national,decile1,0.034671894387
BGR,1989,HBS,national,national,decile1,0.045646711965
BGR,1992,HBS,national,national,decile1,0.034683120143
BFA,2009,ECVM,national,national,decile1,0.027332105905
BFA,2014,EMC,national,national,decile1,0.036021267564
BFA,2018,EHCVM,national,national,decile1,0.026193328781
BFA,2021,EHCVM,national,national,decile1,0.03029423819
BGD,1983,HHES,national,national,decile1,0.041265576451
BGD,1985,HHES,national,national,decile1,0.044703946682
BGD,1988,HHES,national,national,decile1,0.041603617154
BGD,1991,HHES,national,national,decile1,0.041274173191
BLR,2010,HHS,national,national,decile1,0.036488921542
BLR,2011,HHS,national,national,decile1,0.037734359009
BLR,2012,HHS,national,national,decile1,0.039586482325
BLR,2013,HHS,national,national,decile1,0.039768712092
BLR,2014,HHS,national,national,decile1,0.039222837693
BLR,2015,HHS,national,national,decile1,0.040658376778
BLR,2016,HHS,national,national,decile1,0.041618683501
BLR,2017,HHS,national,national,decile1,0.042502006284
BLR,2002,HHS,national,national,decile1,0.033499005317
BLR,2003,HHS,national,national,decile1,0.034528367243
BLR,2004,HHS,national,national,decile1,0.038468010512
BLR,2005,HHS,national,national,decile1,0.036344690577
BLR,2006,HHS,national,national,decile1,0.036103405359
BLR,2007,HHS,national,national,decile1,0.035110502222
BLR,2008,HHS,national,national,decile1,0.036908629838
BLR,2009,HHS,national,national,decile1,0.037126342488
BIH,2007,HBS,national,national,decile1,0.030089077712
BIH,2011,HBS,national,national,decile1,0.029355824715
BLR,1993,FBS,national,national,decile1,0.048696310439
BLR,1995,FBS,national,national,decile1,0.035155011206
BLR,1998,HHS,national,national,decile1,0.031293263798
BLR,1999,HHS,national,national,decile1,0.02976117514
BLR,2000,HHS,national,national,decile1,0.030893000775
BLR,2001,HHS,national,national,decile1,0.032596732527
BGR,2016,EU-SILC,national,national,decile1,0.016352732721
BGR,2017,EU-SILC,national,national,decile1,0.019203492938
BGR,2018,EU-SILC,national,national,decile1,0.019086435752
BGR,2019,EU-SILC,national,national,decile1,0.018831142356
BGR,2020,EU-SILC,national,national,decile1,0.021500943664
BGR,2021,EU-SILC,national,national,decile1,0.020073267937
BIH,2001,LSMS,national,national,decile1,0.035920063005
BIH,2004,LSMS,national,national,decile1,0.029422206077
BOL,2012,EH,national,national,decile1,0.009239835376
BOL,2013,EH,national,national,decile1,0.010113907061
BOL,2014,EH,national,national,decile1,0.01116712212
BOL,2015,EH,national,national,decile1,0.011217268254
BOL,2016,EH,national,national,decile1,0.01016125756
BOL,2017,EH,national,national,decile1,0.011348623566
BOL,2018,EH,national,national,decile1,0.014003370631
BOL,2019,EH,national,national,decile1,0.017104812216
BOL,2002,EH,national,national,decile1,0.003987484832
BOL,2004,ECH,national,national,decile1,0.009255909351
BOL,2005,EH,national,national,decile1,0.005104056881
BOL,2006,EH,national,national,decile1,0.005845340042
BOL,2007,EH,national,national,decile1,0.007873281837
BOL,2008,EH,national,national,decile1,0.008793270807
BOL,2009,EH,national,national,decile1,0.008323199266
BOL,2011,EH,national,national,decile1,0.011169515961
BLZ,1998,LFS,national,national,decile1,0.010538046455
BLZ,1999,LFS,national,national,decile1,0.009503460946
BOL,1990,EPF,urban,urban,decile1,0.023244407122
BOL,1992,EIH,urban,urban,decile1,0.016559602765
BOL,1997,ENE,national,national,decile1,0.004931882997
BOL,1999,ECH,national,national,decile1,0.00298129038
BOL,2000,ECH,national,national,decile1,0.002847734065
BOL,2001,EH,national,national,decile1,0.004861886165
BLR,2018,HHS,national,national,decile1,0.042701751464
BLR,2019,HHS,national,national,decile1,0.04209348986
BLR,2020,HHS,national,national,decile1,0.044539242688
BLZ,1993,LFS,national,national,decile1,0.00862441139
BLZ,1994,LFS,national,national,decile1,0.009785748913
BLZ,1995,HBS,national,national,decile1,0.007568422774
BLZ,1996,SLC,national,national,decile1,0.010374136776
BLZ,1997,LFS,national,national,decile1,0.00688059858
BRA,2006,PNAD,national,national,decile1,0.009973630919
BRA,2007,PNAD,national,national,decile1,0.009673936778
BRA,2008,PNAD,national,national,decile1,0.010480335637
BRA,2009,PNAD,national,national,decile1,0.010487176419
BRA,2011,PNAD,national,national,decile1,0.010665397862
BRA,2012,PNADC-E1,national,national,decile1,0.010983892229
BRA,2013,PNADC-E1,national,national,decile1,0.011714584888
BRA,2014,PNADC-E1,national,national,decile1,0.012217577179
BRA,1997,PNAD,national,national,decile1,0.007138340877
BRA,1998,PNAD,national,national,decile1,0.007741412653
BRA,1999,PNAD,national,national,decile1,0.008068483944
BRA,2001,PNAD,national,national,decile1,0.007869849949
BRA,2002,PNAD,national,national,decile1,0.008651541159
BRA,2003,PNAD,national,national,decile1,0.008540275972
BRA,2004,PNAD,national,national,decile1,0.009426015005
BRA,2005,PNAD,national,national,decile1,0.009683565389
BRA,1987,PNAD,national,national,decile1,0.007705877509
BRA,1988,PNAD,national,national,decile1,0.00673998564
BRA,1989,PNAD,national,national,decile1,0.006288723648
BRA,1990,PNAD,national,national,decile1,0.007794182236
BRA,1992,PNAD,national,national,decile1,0.008618994534
BRA,1993,PNAD,national,national,decile1,0.007274133991
BRA,1995,PNAD,national,national,decile1,0.007798694958
BRA,1996,PNAD,national,national,decile1,0.00692241523
BOL,2020,EH,national,national,decile1,0.015195824346
BOL,2021,EH,national,national,decile1,0.0177495485
BRA,1981,PNAD,national,national,decile1,0.008857676992
BRA,1982,PNAD,national,national,decile1,0.008744067962
BRA,1983,PNAD,national,national,decile1,0.008944016817
BRA,1984,PNAD,national,national,decile1,0.009340930647
BRA,1985,PNAD,national,national,decile1,0.009732259256
BRA,1986,PNAD,national,national,decile1,0.008837549696
CAN,1977,SCF-LIS,national,national,decile1,0.02262658685
CAN,1979,SCF-LIS,national,national,decile1,0.02336522296
CAN,1981,SCF-LIS,national,national,decile1,0.025456552072
CAN,1982,SCF-LIS,national,national,decile1,0.025843118217
CAN,1984,SCF-LIS,national,national,decile1,0.024399507099
CAN,1985,SCF-LIS,national,national,decile1,0.025749722729
CAN,1986,SCF-LIS,national,national,decile1,0.027097580784
CAN,1987,SCF-LIS,national,national,decile1,0.027866389354
BWA,2009,CWIS,national,national,decile1,0.010522488205
BWA,2015,BMTHS,national,national,decile1,0.015320982594
CAF,1992,EPCM,national,national,decile1,0.016801031153
CAF,2008,ECASEB,national,national,decile1,0.012457909312
CAF,2021,EHCVM,national,national,decile1,0.021433231533
CAN,1971,SCF-LIS,national,national,decile1,0.017963028928
CAN,1973,SCF-LIS,national,national,decile1,0.021479183382
CAN,1975,SCF-LIS,national,national,decile1,0.022540770707
BTN,2003,BLSS,national,national,decile1,0.028132685392
BTN,2007,BLSS,national,national,decile1,0.027317642678
BTN,2012,BLSS,national,national,decile1,0.02748849258
BTN,2017,BLSS,national,national,decile1,0.027373203215
BTN,2022,BLSS,national,national,decile1,0.036331381646
BWA,1985,HIES,national,national,decile1,0.014344301124
BWA,1993,HIES,national,national,decile1,0.012107086569
BWA,2002,HIES,national,national,decile1,0.008271660539
BRA,2015,PNADC-E1,national,national,decile1,0.011806256174
BRA,2016,PNADC-E1,national,national,decile1,0.010531260476
BRA,2017,PNADC-E1,national,national,decile1,0.009998628905
BRA,2018,PNADC-E1,national,national,decile1,0.009680551407
BRA,2019,PNADC-E1,national,national,decile1,0.009499829034
BRA,2020,PNADC-E5,national,national,decile1,0.015780880756
BRA,2021,PNADC-E5,national,national,decile1,0.01018704482
BRA,2022,PNADC-E1,national,national,decile1,0.011958265359
CAN,2012,CIS-LIS,national,national,decile1,0.025964075074
CAN,2013,CIS-LIS,national,national,decile1,0.024855187477
CAN,2014,CIS-LIS,national,national,decile1,0.027223189769
CAN,2015,CIS-LIS,national,national,decile1,0.02599566534
CAN,2016,CIS-LIS,national,national,decile1,0.028655542551
CAN,2017,CIS-LIS,national,national,decile1,0.027911566719
CAN,2018,CIS-LIS,national,national,decile1,0.028821124126
CAN,2019,CIS-LIS,national,national,decile1,0.029726830836
CAN,2004,SLID-LIS,national,national,decile1,0.026965072054
CAN,2005,SLID-LIS,national,national,decile1,0.027181733406
CAN,2006,SLID-LIS,national,national,decile1,0.027749901283
CAN,2007,SLID-LIS,national,national,decile1,0.028243057823
CAN,2008,SLID-LIS,national,national,decile1,0.027468423512
CAN,2009,SLID-LIS,national,national,decile1,0.027401938395
CAN,2010,SLID-LIS,national,national,decile1,0.028057494955
CAN,2011,SLID-LIS,national,national,decile1,0.028571270941
CAN,1996,SLID-LIS,national,national,decile1,0.028590381094
CAN,1997,SLID-LIS,national,national,decile1,0.028519542444
CAN,1998,SLID-LIS,national,national,decile1,0.028140503856
CAN,1999,SLID-LIS,national,national,decile1,0.027613173004
CAN,2000,SLID-LIS,national,national,decile1,0.027518509957
CAN,2001,SLID-LIS,national,national,decile1,0.027720409564
CAN,2002,SLID-LIS,national,national,decile1,0.027485528678
CAN,2003,SLID-LIS,national,national,decile1,0.027417002065
CAN,1988,SCF-LIS,national,national,decile1,0.028539013989
CAN,1989,SCF-LIS,national,national,decile1,0.027534661012
CAN,1990,SCF-LIS,national,national,decile1,0.026491444439
CAN,1991,SCF-LIS,national,national,decile1,0.026041546595
CAN,1992,SCF-LIS,national,national,decile1,0.027604480857
CAN,1993,SCF-LIS,national,national,decile1,0.026654062142
CAN,1994,SCF-LIS,national,national,decile1,0.027769410593
CAN,1995,SCF-LIS,national,national,decile1,0.027627598853
CHL,1996,CASEN,national,national,decile1,0.013357945243
CHL,1998,CASEN,national,national,decile1,0.012574487242
CHL,2000,CASEN,national,national,decile1,0.013173068092
CHL,2003,CASEN,national,national,decile1,0.0139045401
CHL,2006,CASEN,national,national,decile1,0.018213725052
CHL,2009,CASEN,national,national,decile1,0.018954714536
CHL,2011,CASEN,national,national,decile1,0.020134673755
CHL,2013,CASEN,national,national,decile1,0.02081102662
CHE,2017,EU-SILC,national,national,decile1,0.030519891206
CHE,2018,EU-SILC,national,national,decile1,0.02953821628
CHE,2019,EU-SILC,national,national,decile1,0.02887006028
CHE,2020,EU-SILC,national,national,decile1,0.029504298576
CHL,1987,CASEN,national,national,decile1,0.011712068187
CHL,1990,CASEN,national,national,decile1,0.011942829302
CHL,1992,CASEN,national,national,decile1,0.014363261011
CHL,1994,CASEN,national,national,decile1,0.012371941799
CHE,2009,EU-SILC,national,national,decile1,0.031074044311
CHE,2010,EU-SILC,national,national,decile1,0.030673166664
CHE,2011,EU-SILC,national,national,decile1,0.031572018538
CHE,2012,EU-SILC,national,national,decile1,0.033386542666
CHE,2013,EU-SILC,national,national,decile1,0.032779800021
CHE,2014,EU-SILC,national,national,decile1,0.031600405264
CHE,2015,EU-SILC,national,national,decile1,0.031591092138
CHE,2016,EU-SILC,national,national,decile1,0.030223472691
CHE,1982,SIWS-LIS,national,national,decile1,0.030325019249
CHE,1992,NPS-LIS,national,national,decile1,0.028648890926
CHE,2000,IES-LIS,national,national,decile1,0.031572475322
CHE,2002,IES-LIS,national,national,decile1,0.03423713447
CHE,2004,IES-LIS,national,national,decile1,0.033517189771
CHE,2006,EU-SILC,national,national,decile1,0.028904011683
CHE,2007,EU-SILC,national,national,decile1,0.028956299656
CHE,2008,EU-SILC,national,national,decile1,0.02990887774
CHN,1999,CRHS-CUHS,national,urban,decile1,0.033779173862
CHN,2002,CRHS-CUHS,national,national,decile1,0.023238411792
CHN,2002,CRHS-CUHS,national,rural,decile1,0.031199597745
CHN,2002,CRHS-CUHS,national,urban,decile1,0.031922976673
CHN,2005,CRHS-CUHS,national,national,decile1,0.023851763395
CHN,2005,CRHS-CUHS,national,rural,decile1,0.031594348387
CHN,2005,CRHS-CUHS,national,urban,decile1,0.030228973973
CHN,2008,CRHS-CUHS,national,national,decile1,0.020548747269
CHN,1993,CRHS-CUHS,national,national,decile1,0.032797110431
CHN,1993,CRHS-CUHS,national,rural,decile1,0.039712497803
CHN,1993,CRHS-CUHS,national,urban,decile1,0.038105622058
CHN,1996,CRHS-CUHS,national,national,decile1,0.031123645966
CHN,1996,CRHS-CUHS,national,rural,decile1,0.03573116845
CHN,1996,CRHS-CUHS,national,urban,decile1,0.037865399686
CHN,1999,CRHS-CUHS,national,national,decile1,0.027224079238
CHN,1999,CRHS-CUHS,national,rural,decile1,0.033861315083
CHN,1984,CRHS-CUHS,national,rural,decile1,0.040277716291
CHN,1984,CRHS-CUHS,national,urban,decile1,0.055116423219
CHN,1987,CRHS-CUHS,national,national,decile1,0.032983300536
CHN,1987,CRHS-CUHS,national,rural,decile1,0.034966056404
CHN,1987,CRHS-CUHS,national,urban,decile1,0.048982970958
CHN,1990,CRHS-CUHS,national,national,decile1,0.034938053527
CHN,1990,CRHS-CUHS,national,rural,decile1,0.038735588891
CHN,1990,CRHS-CUHS,national,urban,decile1,0.041146403093
CHL,2015,CASEN,national,national,decile1,0.021753020658
CHL,2017,CASEN,national,national,decile1,0.021980116038
CHL,2020,CASEN,national,national,decile1,0.017499034374
CHL,2022,CASEN,national,national,decile1,0.022675310227
CHN,1981,CRHS-CUHS,national,national,decile1,0.036734925599
CHN,1981,CRHS-CUHS,national,rural,decile1,0.041329908679
CHN,1981,CRHS-CUHS,national,urban,decile1,0.051511428278
CHN,1984,CRHS-CUHS,national,national,decile1,0.037687542465
CHN,2017,CNIHS,national,rural,decile1,0.032538813019
CHN,2017,CNIHS,national,urban,decile1,0.027182555427
CHN,2018,CNIHS,national,national,decile1,0.026796965467
CHN,2018,CNIHS,national,rural,decile1,0.032909247142
CHN,2018,CNIHS,national,urban,decile1,0.027012331772
CHN,2019,CNIHS,national,national,decile1,0.028251078836
CHN,2019,CNIHS,national,rural,decile1,0.035363321283
CHN,2019,CNIHS,national,urban,decile1,0.027664589998
CHN,2014,CNIHS,national,urban,decile1,0.026700571336
CHN,2015,CNIHS,national,national,decile1,0.026446452855
CHN,2015,CNIHS,national,rural,decile1,0.033273664435
CHN,2015,CNIHS,national,urban,decile1,0.02762623516
CHN,2016,CNIHS,national,national,decile1,0.026649963961
CHN,2016,CNIHS,national,rural,decile1,0.033224497836
CHN,2016,CNIHS,national,urban,decile1,0.028126449884
CHN,2017,CNIHS,national,national,decile1,0.026227908971
CHN,2012,CNIHS,national,national,decile1,0.020545055342
CHN,2012,CNIHS,national,rural,decile1,0.027699011807
CHN,2012,CNIHS,national,urban,decile1,0.030649083348
CHN,2013,CNIHS,national,national,decile1,0.025414795966
CHN,2013,CNIHS,national,rural,decile1,0.032536204272
CHN,2013,CNIHS,national,urban,decile1,0.027588257537
CHN,2014,CNIHS,national,national,decile1,0.025413646726
CHN,2014,CNIHS,national,rural,decile1,0.032119765215
CHN,2008,CRHS-CUHS,national,rural,decile1,0.028409089895
CHN,2008,CRHS-CUHS,national,urban,decile1,0.030242867536
CHN,2010,CRHS-CUHS,national,national,decile1,0.019879820707
CHN,2010,CRHS-CUHS,national,rural,decile1,0.028205269485
CHN,2010,CRHS-CUHS,national,urban,decile1,0.030156337399
CHN,2011,CRHS-CUHS,national,national,decile1,0.020870597693
CHN,2011,CRHS-CUHS,national,rural,decile1,0.028720881257
CHN,2011,CRHS-CUHS,national,urban,decile1,0.030719160743
COD,2012,E123,national,national,decile1,0.021064347015
COD,2020,EGI-ODD,national,national,decile1,0.021275527415
COG,2005,ECOM,national,national,decile1,0.019670037838
COG,2011,ECOM,national,national,decile1,0.015615199918
COL,1980,ENH,urban,urban,decile1,0.010179245011
COL,1988,ENH,urban,urban,decile1,0.01217845151
COL,1989,ENH,urban,urban,decile1,0.013659800516
COL,1991,ENH,urban,urban,decile1,0.013365265763
CIV,2018,EHCVM,national,national,decile1,0.028956902779
CIV,2021,EHCVM,national,national,decile1,0.031499845099
CMR,1996,ECAM-I,national,national,decile1,0.02485155663
CMR,2001,ECAM-II,national,national,decile1,0.025104597252
CMR,2007,ECAM-III,national,national,decile1,0.024578915664
CMR,2014,ECAM-IV,national,national,decile1,0.017214820767
CMR,2021,ECAM-V,national,national,decile1,0.021266279862
COD,2004,E123,national,national,decile1,0.025795431534
CIV,1987,EPAM,national,national,decile1,0.024677714956
CIV,1988,EPAM,national,national,decile1,0.027122325619
CIV,1992,EP,national,national,decile1,0.022884992658
CIV,1995,ENV,national,national,decile1,0.027385100152
CIV,1998,ENV,national,national,decile1,0.025679193056
CIV,2002,ENV,national,national,decile1,0.023040579363
CIV,2008,ENV,national,national,decile1,0.01848529491
CIV,2015,ENV,national,national,decile1,0.021175688624
CHN,2020,CNIHS,national,national,decile1,0.031064204407
CHN,2020,CNIHS,national,rural,decile1,0.039346102008
CHN,2020,CNIHS,national,urban,decile1,0.029243642862
CHN,2021,CNIHS,national,national,decile1,0.031606881075
CHN,2021,CNIHS,national,rural,decile1,0.038226001176
CHN,2021,CNIHS,national,urban,decile1,0.030394715325
CIV,1985,EPAM,national,national,decile1,0.018065589982
CIV,1986,EPAM,national,national,decile1,0.02819728663
COM,2004,EIM,national,national,decile1,0.015457561557
COM,2014,EESIC,national,national,decile1,0.016172195878
CPV,2001,IDRF,national,national,decile1,0.015897519907
CPV,2007,QUIBB,national,national,decile1,0.019545091057
CPV,2015,IDRF,national,national,decile1,0.022185574175
CRI,1981,ENH,national,national,decile1,0.010654622674
CRI,1986,ENH,national,national,decile1,0.015417379971
CRI,1989,EHPM,national,national,decile1,0.009698073075
COL,2015,GEIH,national,national,decile1,0.013002517288
COL,2016,GEIH,national,national,decile1,0.013199211785
COL,2017,GEIH,national,national,decile1,0.014043273982
COL,2018,GEIH,national,national,decile1,0.013561849275
COL,2019,GEIH,national,national,decile1,0.01241807736
COL,2020,GEIH,national,national,decile1,0.008930473308
COL,2021,GEIH,national,national,decile1,0.009932364243
COL,2022,GEIH,national,national,decile1,0.010330589598
COL,2005,ECH,national,national,decile1,0.012245325139
COL,2008,GEIH,national,national,decile1,0.009686005682
COL,2009,GEIH,national,national,decile1,0.010819229544
COL,2010,GEIH,national,national,decile1,0.011084802787
COL,2011,GEIH,national,national,decile1,0.011878575407
COL,2012,GEIH,national,national,decile1,0.011812148222
COL,2013,GEIH,national,national,decile1,0.011798682202
COL,2014,GEIH,national,national,decile1,0.011998885576
COL,1992,ENH,national,national,decile1,0.011262632085
COL,1996,ENH,national,national,decile1,0.005629508743
COL,1999,ENH,national,national,decile1,0.004761702512
COL,2000,ENH,national,national,decile1,0.003238526479
COL,2001,ECH,national,national,decile1,0.006127278378
COL,2002,ECH,national,national,decile1,0.010867967376
COL,2003,ECH,national,national,decile1,0.011527093252
COL,2004,ECH,national,national,decile1,0.012471369569
CRI,2014,ENAHO,national,national,decile1,0.014812046133
CRI,2015,ENAHO,national,national,decile1,0.014781316477
CRI,2016,ENAHO,national,national,decile1,0.014808551277
CRI,2017,ENAHO,national,national,decile1,0.015858124472
CRI,2018,ENAHO,national,national,decile1,0.014797111288
CRI,2019,ENAHO,national,national,decile1,0.015908868686
CRI,2020,ENAHO,national,national,decile1,0.013934053991
CRI,2021,ENAHO,national,national,decile1,0.015595269514
CRI,2006,EHPM,national,national,decile1,0.013815309677
CRI,2007,EHPM,national,national,decile1,0.015345381489
CRI,2008,EHPM,national,national,decile1,0.015041576491
CRI,2009,EHPM,national,national,decile1,0.013490178252
CRI,2010,ENAHO,national,national,decile1,0.015695983404
CRI,2011,ENAHO,national,national,decile1,0.014645014286
CRI,2012,ENAHO,national,national,decile1,0.014726561699
CRI,2013,ENAHO,national,national,decile1,0.014274788755
CRI,1998,EHPM,national,national,decile1,0.013815418692
CRI,1999,EHPM,national,national,decile1,0.011865294479
CRI,2000,EHPM,national,national,decile1,0.011598135616
CRI,2001,EHPM,national,national,decile1,0.010610544411
CRI,2002,EHPM,national,national,decile1,0.011124818158
CRI,2003,EHPM,national,national,decile1,0.011467421492
CRI,2004,EHPM,national,national,decile1,0.01281818013
CRI,2005,EHPM,national,national,decile1,0.014478888787
CRI,1990,EHPM,national,national,decile1,0.010110691297
CRI,1991,EHPM,national,national,decile1,0.010305667385
CRI,1992,EHPM,national,national,decile1,0.011241439171
CRI,1993,EHPM,national,national,decile1,0.010572348933
CRI,1994,EHPM,national,national,decile1,0.011585968132
CRI,1995,EHPM,national,national,decile1,0.011552843401
CRI,1996,EHPM,national,national,decile1,0.010914231757
CRI,1997,EHPM,national,national,decile1,0.013057900127
CZE,2004,EU-SILC,national,national,decile1,0.035861835956
CZE,2005,EU-SILC,national,national,decile1,0.037730835022
CZE,2006,EU-SILC,national,national,decile1,0.037275951507
CZE,2007,EU-SILC,national,national,decile1,0.039175819855
CZE,2008,EU-SILC,national,national,decile1,0.039168807208
CZE,2009,EU-SILC,national,national,decile1,0.038349296656
CZE,2010,EU-SILC,national,national,decile1,0.037132541205
CZE,2011,EU-SILC,national,national,decile1,0.036975938246
CYP,2018,EU-SILC,national,national,decile1,0.03467182029
CYP,2019,EU-SILC,national,national,decile1,0.03497581503
CYP,2020,EU-SILC,national,national,decile1,0.035535399835
CYP,2021,EU-SILC,national,national,decile1,0.035470922564
CZE,1992,MC-LIS,national,national,decile1,0.052565125053
CZE,1993,CM,national,national,decile1,0.047876675089
CZE,1996,MC-LIS,national,national,decile1,0.041548171375
CZE,2002,MC-LIS,national,national,decile1,0.040539056315
CYP,2010,EU-SILC,national,national,decile1,0.035607500088
CYP,2011,EU-SILC,national,national,decile1,0.034220002763
CYP,2012,EU-SILC,national,national,decile1,0.032892069701
CYP,2013,EU-SILC,national,national,decile1,0.031475661365
CYP,2014,EU-SILC,national,national,decile1,0.030203034111
CYP,2015,EU-SILC,national,national,decile1,0.031944007917
CYP,2016,EU-SILC,national,national,decile1,0.034132741315
CYP,2017,EU-SILC,national,national,decile1,0.034495115819
CRI,2022,ENAHO,national,national,decile1,0.016617005682
CRI,2023,ENAHO,national,national,decile1,0.016389188622
CYP,2004,EU-SILC,national,national,decile1,0.036549248441
CYP,2005,EU-SILC,national,national,decile1,0.037970538162
CYP,2006,EU-SILC,national,national,decile1,0.037465503053
CYP,2007,EU-SILC,national,national,decile1,0.037021481647
CYP,2008,EU-SILC,national,national,decile1,0.036722737085
CYP,2009,EU-SILC,national,national,decile1,0.035010574891
DEU,2005,GSOEP-LIS,national,national,decile1,0.033558276211
DEU,2006,GSOEP-LIS,national,national,decile1,0.034416210657
DEU,2007,GSOEP-LIS,national,national,decile1,0.035083467083
DEU,2008,GSOEP-LIS,national,national,decile1,0.034996595329
DEU,2009,GSOEP-LIS,national,national,decile1,0.034395722502
DEU,2010,GSOEP-LIS,national,national,decile1,0.035015901889
DEU,2011,GSOEP-LIS,national,national,decile1,0.035235028907
DEU,2012,GSOEP-LIS,national,national,decile1,0.033454225909
DEU,1997,GSOEP-LIS,national,national,decile1,0.037298108377
DEU,1998,GSOEP-LIS,national,national,decile1,0.037228228701
DEU,1999,GSOEP-LIS,national,national,decile1,0.03605795798
DEU,2000,GSOEP-LIS,national,national,decile1,0.036365065551
DEU,2001,GSOEP-LIS,national,national,decile1,0.035809082893
DEU,2002,GSOEP-LIS,national,national,decile1,0.035296402778
