decile,value
decile1,0.009912799103
decile1,0.006908694333
decile1,0.011486148322
decile1,0.012696395691
decile1,0.009646066563
decile1,0.03195069588
decile1,0.024377442697
decile1,0.023284390256
decile1,0.032294440395
decile1,0.037956083267
decile1,0.032056154344
decile1,0.031962153672
decile1,0.037771120975
decile1,0.024725654162
decile1,0.013965703185
decile1,0.013190598633
decile1,0.02345518604
decile1,0.021157453711
decile1,0.022626038091
decile1,0.022943603428
decile1,0.015528650242
decile1,0.028933126892
decile1,0.022097002402
decile1,0.026457434813
decile1,0.028511213697
decile1,0.018377039415
decile1,0.019909799875
decile1,0.02106633888
decile1,0.018938529724
decile1,0.018000679048
decile1,0.017442104843
decile1,0.017658037671
decile1,0.019425653185
decile1,0.018355325955
decile1,0.020216162965
decile1,0.022780825738
decile1,0.029151951191
decile1,0.028907082881
decile1,0.028499481399
decile1,0.035003728453
decile1,0.033925858273
decile1,0.036137520407
decile1,0.036172393435
decile1,0.036391880329
decile1,0.03661446911
decile1,0.035401275498
decile1,0.035119183996
decile1,0.035063345407
decile1,0.034560084594
decile1,0.034564061557
decile1,0.035244422707
decile1,0.033633622626
decile1,0.035910946391
decile1,0.036250487224
decile1,0.034882392308
decile1,0.028978469275
decile1,0.03464519974
decile1,0.037655781446
decile1,0.028845162551
decile1,0.017130966317
decile1,0.006447601255
decile1,0.02073650133
decile1,0.009686223473
decile1,0.021923587645
decile1,0.013965942634
decile1,0.025296062559
decile1,0.018530679215
decile1,0.019864201522
decile1,0.019773414121
decile1,0.032728285929
decile1,0.041696033475
decile1,0.032777223432
decile1,0.027825044326
decile1,0.032428570674
decile1,0.02822811867
decile1,0.03089713881
decile1,0.031326226733
decile1,0.033705758209
decile1,0.034824563803
decile1,0.034673621169
decile1,0.034472896609
decile1,0.034526653987
decile1,0.03393774463
decile1,0.034600685773
decile1,0.031542153142
decile1,0.030954282109
decile1,0.029545164747
decile1,0.03763880438
decile1,0.035013215407
decile1,0.03463940217
decile1,0.032313545395
decile1,0.034751845271
decile1,0.034523196369
decile1,0.032601507369
decile1,0.03403254746
decile1,0.034955112606
decile1,0.018533383162
decile1,0.018537011649
